time_ms,imu_roll,imu_pitch,ax,ay,az,gx,gy,gz,Setpoint_rollRate,set_pitchRate,Setpoint_yawRate,Setpoint_roll,Setpoint_pitch,radio_3,,
101000,-3,17,7,-3,1007,-5,62,-1,-444,-3617,480,-80,-640,105,21,64
149000,-19,15,-3,7,997,-66,1,-1,-596,-3399,359,-119,-599,129,21,64
201000,-25,7,14,5,1043,604,490,2073,-551,-3444,359,-119,-599,148,21,64
249000,-33,20,-2,4,1031,-1104,184,-4822,-520,-3149,480,-119,-559,151,21,64
301000,-36,-22,-8,-15,1179,-2813,-1829,3111,-485,-3154,480,-119,-520,150,21,64
349000,-10,-13,-11,72,1261,3839,612,-1343,-446,-3151,480,-119,-520,149,21,64
401000,-27,20,-8,1,1011,-5,-364,426,-540,-4298,359,-119,-759,148,21,64
449000,-23,18,-22,36,1067,726,-547,-1,-319,-4747,240,-80,-839,147,21,64
501000,0,18,-45,8,965,-310,1832,303,-461,-5008,240,-80,-880,147,21,64
549000,20,57,41,-10,846,726,551,2135,-766,-4552,359,-119,-839,148,21,64
601000,25,63,-3,91,968,-5,184,-3358,-843,-4744,359,-119,-880,155,21,64
649000,54,147,47,47,1019,-1104,-425,4820,-972,-4717,359,-119,-959,164,21,64
701000,61,194,-2,15,1090,-737,-486,-7203,-1053,-5379,359,-119,-1119,177,21,64
749000,59,185,-41,-59,873,787,2931,4332,-811,-5550,359,-80,-1119,180,21,64
801000,41,152,110,122,1280,5243,-913,-2991,-707,-5621,480,-80,-1119,182,21,64
849000,50,63,-33,-132,536,-9954,917,2012,-1118,-5992,480,-119,-1119,182,21,64
901000,99,66,-3,-66,1057,543,-1524,-733,-1277,-5893,359,-119,-1080,181,21,64
949000,138,55,-187,86,1348,3900,1222,2623,-1282,-5798,599,-119,-1039,182,21,64
1001000,126,63,-294,320,1393,6403,3480,7872,-1431,-6605,480,-119,-1200,201,21,64
1049000,94,42,537,123,671,-1836,-6589,-9888,-1413,-6768,359,-119,-1239,198,21,64
1101000,117,27,167,-403,699,-2141,-1157,-5555,-1146,-7980,480,-80,-1399,197,21,64
1149000,128,99,-241,-5,726,-1043,856,3721,-979,-7918,480,-39,-1440,195,21,64
1201000,135,-36,-334,64,533,-1958,1954,1951,-1019,-8814,480,-39,-1480,196,21,64
1249000,117,67,50,86,670,-798,3847,-428,-1202,-7567,599,-80,-1360,195,21,64
1301000,146,123,234,268,821,2741,-4453,-5067,-1318,-7654,599,-80,-1440,196,21,64
1349000,113,30,193,-329,1224,971,-364,-2930,-1221,-8633,599,-80,-1519,195,21,64
1401000,142,137,451,-95,957,-1043,-974,-7569,-1291,-8967,599,-80,-1679,193,21,64
1449000,122,93,-29,-124,961,3229,245,-3785,-990,-10019,480,-39,-1799,191,21,64
1501000,142,103,26,-396,737,-1592,2321,6529,-1061,-9860,359,-39,-1799,191,21,64
1549000,154,210,-245,174,940,-1409,1893,-1954,-1372,-9634,480,-80,-1840,191,21,64
1601000,158,129,-250,-41,898,-249,-59,6224,-1617,-10173,480,-119,-1879,190,21,64
1649000,144,149,17,79,853,-982,856,-7996,-1538,-10119,480,-119,-1879,192,21,64
1701000,163,191,58,168,953,5731,-547,1890,-1650,-10047,480,-119,-1920,199,21,64
1749000,139,163,252,-154,1112,1764,-2683,-6104,-1221,-10590,480,-80,-2000,209,21,64
1801000,177,216,289,138,771,2191,-1340,-7081,-1498,-10369,480,-80,-2000,213,21,64
1849000,174,241,169,-368,1016,238,184,-1343,-1797,-11259,359,-119,-2159,211,21,64
1901000,148,244,29,-154,593,-3789,123,2806,-1560,-10670,480,-119,-2079,212,21,64
1949000,99,269,-139,-223,380,-2935,1588,548,-1454,-10096,599,-119,-2000,226,21,64
2001000,122,196,68,-301,1328,604,-1340,3172,-1410,-10248,480,-119,-1959,242,21,64
2049000,116,185,-165,91,1114,-66,2321,670,-1336,-10184,480,-119,-1920,255,21,64
2101000,106,179,-199,-271,526,-1775,1100,1219,-1313,-10350,480,-119,-1959,260,21,64
2149000,144,112,59,-68,996,1215,-2134,5919,-1186,-10655,359,-80,-1959,260,21,64
2201000,80,169,364,158,1218,665,-303,-2015,-935,-10641,359,-80,-2000,261,21,64
2249000,33,217,-151,374,545,1642,-1157,-4700,-900,-10123,480,-119,-1959,263,21,64
2301000,13,146,-205,5,1303,-737,1649,-5860,-776,-10540,480,-119,-1959,264,21,64
2349000,-28,241,80,-242,984,-188,2382,10863,-661,-11027,359,-119,-2120,269,21,64
2401000,-132,265,-62,-139,1684,4877,1,4515,74,-13339,359,-119,-2560,274,21,64
2449000,-164,257,110,-170,715,-5,-364,6041,500,-13378,359,-80,-2560,279,21,64
2501000,-189,353,46,-105,693,-2568,2015,3416,638,-2829,359,-80,-839,287,21,64
2549000,-188,270,41,-12,1315,-1958,-3538,-3236,365,1282,720,-119,-80,291,21,64
2601000,-198,194,0,-161,617,-3118,2260,5247,455,666,1080,-119,-80,289,21,64
2649000,-226,277,112,-105,796,2252,-303,914,619,1190,1439,-119,-80,289,21,64
2701000,-233,127,-19,-120,927,-1714,-852,1219,661,508,959,-119,-39,300,21,64
2749000,-169,143,83,-31,593,604,1649,2073,-5196,333,480,-1080,-80,304,21,64
2801000,-128,202,-27,86,1107,2557,-791,-245,-6226,-1847,599,-1200,-520,307,21,64
2849000,-107,122,-123,9,1236,2374,1,792,-6359,-7818,480,-1200,-1480,309,21,64
2901000,-108,250,-137,55,641,360,4518,-1954,-6344,-14588,480,-1200,-2760,306,21,64
2949000,-105,193,82,115,980,-1043,-4026,914,-5038,-16333,599,-959,-3040,307,21,64
3001000,-146,150,204,-91,1133,-2874,2626,731,-4261,-18656,599,-880,-3359,236,21,64
3049000,-159,308,32,-151,947,421,-669,303,-218,-21713,480,-199,-4040,150,21,64
3101000,-205,122,71,-50,1286,299,-4026,-611,496,-27656,480,-119,-4880,147,21,64
3149000,-238,122,40,101,1199,-2019,2015,-3541,849,-27986,359,-80,-4920,147,21,64
3201000,-209,219,129,311,832,971,-2012,-4884,751,-30347,359,-80,-5440,169,21,64
3249000,-134,60,58,-144,885,2802,-2073,-2686,87,-31865,480,-119,-5560,197,21,64
3301000,-74,192,194,-250,754,-982,2138,1280,-494,-31202,480,-160,-5560,240,21,64
3349000,-85,220,-5,-344,914,-1470,123,1158,-824,-30778,720,-199,-5520,250,21,64
3401000,-21,123,83,-250,896,-676,1588,3172,-1502,-29740,599,-279,-5240,258,21,64
3449000,-8,302,30,-190,1312,-1714,3969,-2198,-3463,-27021,480,-599,-4920,264,21,64
3501000,49,260,15,-25,1297,4328,-2134,5308,-3308,-27086,359,-520,-4920,283,21,64
3549000,51,221,167,-53,930,177,3114,-3175,-5184,-28118,480,-839,-5039,304,21,64
3601000,106,448,-50,46,843,3900,184,1707,-5501,-27622,480,-839,-5200,324,21,64
3649000,71,395,-187,-80,863,-1104,-1829,-1893,-5389,-29058,480,-839,-5399,329,21,64
3701000,71,638,225,-54,891,-1287,5250,4027,-5297,-27447,480,-839,-5360,331,21,64
3749000,71,696,-159,199,802,-249,-5491,-5982,-4982,-28169,480,-800,-5560,335,21,64
3801000,48,608,-189,178,697,-859,5372,2012,-4933,-30875,480,-800,-5920,338,21,64
3849000,60,860,-204,-143,656,-1043,-547,5797,-6031,-29772,359,-959,-6000,341,21,64
3901000,47,632,218,-151,853,-5498,795,11534,-6789,-31202,359,-1119,-6000,350,21,64
3949000,47,934,171,222,1135,3595,551,-8179,-8197,-30735,480,-1399,-6200,356,21,64
4001000,82,649,73,52,239,910,-3538,-5372,-8852,-32729,480,-1440,-6280,373,21,64
4049000,63,926,16,104,1132,5975,8058,1585,-8718,-30862,480,-1480,-6160,375,21,64
4101000,84,754,101,257,1792,8783,-5491,-2381,-8859,-30488,480,-1440,-6000,375,21,64
4149000,57,759,-89,-33,781,-10076,10011,-2442,-8934,-28647,359,-1440,-5640,375,21,64
4201000,129,881,172,255,1060,4999,-5674,-2381,-8658,-23242,359,-1360,-4880,374,21,64
4249000,106,687,142,-83,1789,2619,6410,5797,-8159,-19485,480,-1319,-3999,375,21,64
4301000,137,739,-20,300,1577,12994,-2683,-10194,-5916,-7791,599,-880,-2079,376,21,64
4349000,213,361,-35,253,1586,-3728,1649,1646,-6501,-4074,599,-880,-1080,375,21,64
4401000,240,564,12,237,-292,-3362,1222,-5311,-6515,3047,599,-880,-39,375,21,64
4449000,353,408,-89,33,695,-1104,-4819,-489,-3659,2436,480,-279,-39,375,21,64
4501000,270,311,-61,3,398,-1226,-1157,-123,-2040,1812,480,-80,0,375,21,64
4549000,327,362,83,-189,1482,-4522,1161,1707,-2446,2057,720,-119,0,376,21,64
4601000,221,398,112,-186,1059,-3667,-5613,3843,-1984,2318,599,-119,0,378,21,64
