time_ms	imu_roll	imu_pitch	ax	ay	az	gx	gy	gz	Setpoint_rollRate	set_pitchRate	Setpoint_yawRate	Setpoint_roll	Setpoint_pitch	radio_3
101000	1130	-1648	76	43	1010	-22	32	-83	-10825	-13928	480	-119	39	0
149000	1481	-2170	65	47	1004	-83	32	39	-13421	-17780	480	-119	39	0
201000	1775	-2607	76	58	1013	-83	-28	-83	-16417	-22236	240	-119	39	0
249000	1996	-2923	72	46	1014	-83	32	100	-17696	-24908	0	-80	0	0
301000	2175	-3194	75	54	1030	-144	-28	-83	-19530	-27662	0	-80	0	0
349000	2299	-3380	79	41	1035	-83	32	-22	-20796	-28709	119	-119	39	0
401000	2391	-3535	80	39	969	-22	-28	-22	-21749	-30614	119	-119	0	0
449000	2453	-3645	69	57	1048	-144	-28	100	-22194	-31089	0	-119	39	0
501000	2521	-3729	66	43	1023	-144	32	39	-22874	-31948	-239	-119	39	0
549000	2573	-3792	76	52	1018	-144	-28	-144	-22901	-32760	-599	-80	0	0
601000	2615	-3853	71	53	1019	-22	93	-22	-23343	-33373	-1199	-80	0	0
649000	2640	-3903	69	41	1001	-22	-28	39	-23869	-33743	-1560	-119	0	0
701000	2659	-3946	69	50	1003	-22	-28	-22	-24070	-33830	-1560	-119	39	0
749000	2666	-3978	66	49	1017	-83	-28	-83	-24126	-34414	-1560	-119	0	0
801000	2675	-3999	71	56	1004	-205	-28	39	-24210	-34637	-1560	-119	0	0
849000	2693	-4010	70	47	981	-144	-28	-144	-24347	-34363	-1560	-119	39	1
901000	2702	-4036	72	50	1031	-22	-89	161	-24441	-34606	-1799	-119	39	11
949000	2713	-4048	75	51	1033	-83	-89	-205	-24168	-35052	-1799	-80	0	13
1001000	2730	-4054	72	42	1014	99	-89	283	-24339	-35110	-1799	-80	0	22
1049000	2739	-4059	75	53	1019	38	93	-266	-24737	-34802	-1799	-119	39	24
1101000	2747	-4070	73	43	1030	-83	-89	100	-24836	-35247	-1799	-119	0	34
1149000	2748	-4078	69	55	1015	-83	-28	-83	-24830	-34964	-1799	-119	39	38
1201000	2755	-4075	67	52	1004	-83	-28	39	-24900	-34948	-1799	-119	39	40
1249000	2761	-4073	75	45	968	-83	-28	-83	-24598	-35274	-1919	-80	0	42
1301000	2763	-4061	72	55	1040	-144	32	-205	-24621	-34823	-1319	-80	39	43
1349000	2766	-4051	93	39	964	-22	32	161	-24996	-35088	-1199	-119	0	46
1401000	2758	-4069	75	56	1002	-83	93	-388	-24929	-34893	-1199	-119	39	53
1449000	2754	-4076	69	51	1007	-266	-28	344	-24906	-35296	-1199	-119	0	69
1501000	2756	-4080	69	49	1011	-83	93	-449	-24913	-35340	-1199	-119	0	74
1549000	2763	-4079	68	56	1017	-144	32	405	-24961	-34990	-1199	-119	39	79
1601000	2766	-4077	66	57	1022	38	-28	-327	-24996	-34967	-1199	-119	39	80
1649000	2771	-4058	39	68	856	-205	1619	1137	-24703	-35275	-1319	-80	0	80
1701000	2761	-4027	77	24	864	1381	-1004	-1792	-24606	-34874	-1319	-80	0	84
1749000	2767	-4028	49	-4	699	1015	521	1931	-24960	-34578	-1199	-119	39	86
1801000	2754	-4025	44	119	1276	-388	1009	-2036	-24889	-34857	-1319	-119	0	87
1849000	2739	-3975	60	23	954	1564	1070	2419	-24830	-34159	-1199	-119	39	88
1901000	2733	-3944	57	85	1023	-1426	216	-2524	-24711	-33816	-840	-119	39	99
1949000	2736	-3936	73	21	909	99	460	2114	-24429	-33787	-719	-80	39	111
2001000	2722	-3876	86	48	1107	-693	887	-1120	-24267	-33572	-599	-80	0	116
2049000	2710	-3888	65	-23	1201	38	93	1076	-24601	-33312	-480	-119	39	122
2101000	2688	-3893	34	73	944	588	1314	344	-24323	-33721	-599	-119	0	133
2149000	2673	-3860	66	25	872	1137	154	-937	-24173	-33047	-480	-119	39	145
2201000	2636	-3873	58	56	1061	466	1375	1809	-23875	-33548	-480	-119	0	150
2249000	2634	-3882	133	20	1024	-876	765	-2097	-23860	-33259	-480	-119	39	153
2301000	2603	-3881	89	52	986	-815	765	3518	-23585	-32919	-360	-119	79	163
2349000	2600	-3878	-28	126	1211	-144	460	-4538	-23181	-33589	-360	-80	0	172
2401000	2595	-3838	77	213	1250	99	1253	4677	-23165	-33244	-119	-80	0	178
2449000	2605	-3795	206	81	1120	-815	-760	-8017	-23594	-32436	240	-119	39	187
2501000	2592	-3791	6	-15	1055	1869	1436	-1242	-23491	-32837	240	-119	0	192
2549000	2552	-3744	3	51	1068	-22	826	-2646	-23123	-32108	240	-119	39	194
2601000	2515	-3739	102	18	1007	2663	765	649	-22822	-32036	240	-119	39	197
2649000	2513	-3683	105	66	1101	-2341	-760	-266	-22411	-31518	119	-80	39	203
2701000	2493	-3650	127	-2	1106	99	1619	1564	-22288	-31611	240	-80	0	208
2749000	2478	-3686	20	116	871	-2280	338	-2036	-22611	-31884	119	-119	0	211
2801000	2459	-3648	66	26	716	-3684	2413	-1181	-22338	-31592	119	-119	0	213
2849000	2468	-3652	97	-62	1380	-83	-3018	649	-22328	-31531	240	-119	0	219
2901000	2447	-3708	-39	178	806	4921	948	588	-22234	-31767	240	-119	39	223
2949000	2431	-3608	112	10	1072	-5332	4000	283	-22398	-31156	240	-119	39	232
3001000	2458	-3623	126	67	1027	-4843	-3446	344	-22330	-31029	240	-119	39	236
3049000	2485	-3583	113	-40	1320	343	2352	1137	-22126	-31297	119	-80	0	240
3101000	2492	-3418	32	106	1224	6020	-1798	-327	-22276	-29606	240	-80	0	246
3149000	2475	-3441	-35	24	1424	-632	-272	2419	-22507	-29538	359	-119	39	249
3201000	2447	-3344	88	54	1033	-83	93	-1547	-22238	-28966	359	-119	0	254
3249000	2443	-3228	-74	100	937	1381	2840	-1181	-22220	-27784	359	-119	39	257
3301000	2385	-3199	107	-114	831	-5698	2352	466	-21693	-27359	359	-119	39	257
3349000	2308	-3278	168	128	728	-1731	-2164	1931	-20875	-27805	240	-80	39	259
3401000	2269	-3287	-12	165	999	527	3450	-1059	-20342	-28468	240	-80	0	260
3449000	2211	-3326	37	-84	1115	527	-699	-632	-20360	-28393	240	-119	39	259
3501000	2148	-3309	27	15	384	-2768	2840	1747	-19646	-28662	240	-119	0	259
3549000	2110	-3187	54	82	930	-3684	338	1747	-19508	-27624	359	-119	0	260
3601000	2099	-3211	104	-79	1086	-2280	948	2968	-19217	-27463	359	-119	39	260
3649000	2056	-3005	128	11	846	-4599	1802	1625	-18936	-25963	359	-119	39	260
3701000	2106	-3074	199	163	1615	99	-4544	-1547	-19278	-26274	480	-119	39	260
3749000	2110	-2871	-51	15	857	-1487	9371	-1059	-18964	-25512	240	-80	0	260
3801000	2087	-2856	148	11	1549	1015	-7108	405	-18773	-24737	359	-80	0	259
3849000	2108	-2967	-84	13	955	-876	11507	1809	-19497	-26177	599	-119	0	260
3901000	2001	-2395	86	24	940	-2890	6624	4372	-18370	-20741	599	-119	0	258
3949000	1881	-2763	68	28	858	-1670	-12662	7363	-17494	-22756	599	-119	39	258
4001000	1712	-2584	94	37	1015	-2768	17244	3212	-15869	-22033	599	-119	39	258
4049000	1711	-2212	-57	14	1214	1198	216	-1792	-15459	-11105	480	-80	920	257
4101000	1740	-2657	1	-33	637	-2158	-6925	-2341	-15769	3659	480	-80	3080	203
4149000	1781	-2510	5	73	1371	466	5465	-2280	-16089	18644	480	-80	4719	188
4201000	1832	-2553	62	76	1433	-693	-16507	-3378	-16565	36432	359	-80	6760	184
4249000	2026	-3221	191	13	1453	7912	-6680	-8200	-9237	46511	480	920	8520	185
4301000	2043	-2788	-71	290	1174	3395	3389	11879	-10425	54480	480	840	9080	186
4349000	1985	-3176	-64	-204	1234	-3684	-3507	-12412	-11125	48672	480	759	8759	188
4401000	1925	-3122	233	-59	1516	-1059	-4056	2968	-17367	31847	240	-80	6800	199
4449000	1905	-2924	-59	88	1094	-754	5892	-6064	-17189	27290	119	-39	6120	210
4501000	1925	-3170	350	-24	1258	1808	-10465	5593	-17365	15499	119	-80	4960	227
4549000	1852	-2956	-80	83	469	-1853	8699	-1242	-16924	16987	240	-119	5000	237
4601000	1950	-3178	-41	-44	437	-205	-1737	-9238	-17929	14392	240	-119	4839	236
4649000	2047	-3135	197	117	1420	-632	-1431	7729	-18569	12601	240	-119	4600	237
4701000	2079	-2907	-166	84	613	-1120	11629	-4538	-19047	13966	240	-119	4519	237
4749000	2210	-2947	207	8	760	1930	-15653	3395	-19245	13556	119	-39	4440	237
4801000	2233	-2560	-82	96	978	-2158	14559	-5942	-19688	14890	119	-39	4279	237
4849000	2353	-2458	194	59	695	4616	-11380	2907	-21127	16026	359	-119	4240	236
4901000	2485	-2454	-106	145	1230	1259	6258	-3806	-22563	15113	240	-119	4200	237
4949000	2582	-2206	232	-75	1563	1442	-1676	2785	-22882	17357	359	-80	4200	238
5001000	2549	-2393	-102	144	693	3395	-6497	-815	-22771	18068	359	-80	4479	238
5049000	2551	-2506	222	-9	1750	-3989	9737	893	-22697	19302	359	-39	4760	237
5101000	2495	-2381	-80	20	1149	8217	-5155	2236	-22300	27179	359	-80	5520	237
5149000	2452	-2761	93	72	1331	1076	643	-4904	-21628	24713	240	-39	5599	237
5201000	2358	-2650	94	-41	1157	-571	521	2541	-20771	26233	119	-39	5680	237
5249000	2215	-2768	142	-5	1515	1015	-5521	-1120	-20013	23836	240	-80	5480	238
5301000	2220	-2962	123	65	1601	1991	3511	161	-19922	17648	240	-80	5000	244
5349000	2106	-2769	33	-12	1027	2358	-699	4067	-18750	17305	119	-80	4760	249
5401000	2029	-3062	157	165	741	527	-1492	-9299	-18612	10886	119	-119	4319	250
5449000	2023	-3039	167	-84	671	-144	1314	8339	-18339	10505	0	-80	4240	252
5501000	1909	-2986	-88	252	990	-754	-3934	-5576	-17229	10512	-119	-80	4200	254
5549000	1919	-3263	331	16	840	-2341	521	2724	-17967	8580	0	-119	4240	254
5601000	1884	-3064	61	-152	1106	405	-5948	7790	-17355	16066	0	-119	4920	257
5649000	1832	-3645	23	316	1813	-2463	-1309	-11008	-17117	12518	-239	-119	5039	259
5701000	1790	-3365	-37	4	1104	-2585	5342	5532	-16543	14151	-239	-119	5000	261
5749000	1754	-3511	205	-159	1378	-1059	-2225	-2158	-15835	13463	-119	-80	5000	261
5801000	1780	-4006	72	-188	676	-2646	887	14748	-16113	11025	-360	-80	5280	262
5849000	1833	-4049	-101	-194	629	-4294	2291	5532	-16446	17189	-480	-80	6040	263
5901000	1897	-4433	108	287	1506	4189	-10892	-2341	-17121	25686	-360	-80	7400	263
5949000	1777	-4218	-201	214	1399	-8017	8394	-11679	-16622	39292	-239	-80	8840	262
6001000	1827	-4332	222	19	1246	-4660	-15408	-11984	-14442	39382	-239	160	8880	263
6049000	1668	-4352	86	-162	1157	-4660	8883	5043	-5541	37405	119	1040	8759	261
6101000	1384	-3772	-28	-58	809	-7041	-4483	-1181	4633	41117	240	1919	8520	261
6149000	1222	-3908	-88	120	326	-3257	-5338	-6125	6134	40334	119	1960	8559	261
6201000	1046	-3646	103	-114	519	3151	9798	6081	11028	42201	119	2320	8520	261
6249000	996	-3538	-195	-83	866	-3257	-10709	-6247	14020	38221	240	2639	7920	261
6301000	1144	-3417	-72	72	1016	7973	11873	4433	38234	27905	240	5560	6640	260
6349000	1045	-2875	31	182	841	7179	-28	-5637	60855	28307	119	8039	6159	261
6401000	1423	-3357	43	90	1085	13771	1192	-1914	57988	23926	-719	8120	6120	262
6449000	1839	-2789	-185	373	1192	3578	-6436	9194	55206	27180	119	8160	5999	261
6501000	1941	-3547	48	-300	1220	6691	2840	-14487	53850	20195	-360	8160	5880	261
6549000	1887	-2908	273	169	1174	1747	1863	11513	53412	25900	-599	7999	5920	262
6601000	1926	-3438	-57	237	379	-205	-9122	-5026	42551	21491	240	6840	5920	263
6649000	2144	-3531	328	-144	54	-937	2779	4921	40320	20845	359	6800	5959	266
6701000	2153	-3198	13	172	961	-8689	-577	-10153	40242	22526	359	6800	5799	270
6749000	2339	-3806	334	-133	1209	343	-5399	4128	38512	17277	240	6800	5720	271
6801000	2263	-3509	269	-366	1430	-1120	-13577	10781	39283	19485	240	6800	5759	276
6849000	2343	-4082	-244	341	742	2907	5159	-4172	38780	15331	119	6840	5840	279
6901000	2430	-4023	386	-263	649	-3135	-6009	8278	36452	22313	119	6640	6600	284
6949000	2454	-3984	-247	116	566	-1792	5709	-7895	32180	25091	119	6159	6960	285
7001000	2530	-4278	62	-61	1425	5104	-4605	6142	29003	22532	119	5880	6879	285
7049000	2462	-4088	-80	-92	1326	-1426	1680	771	29725	24115	119	5880	6919	287
7101000	2498	-4236	-147	300	682	-754	8638	-4172	31358	22892	119	6120	6879	287
7149000	2558	-4140	172	304	822	10292	-13516	5593	31994	23869	-119	6199	6800	287
7201000	2673	-4220	-366	287	933	2358	12239	-1425	30191	22340	-119	6159	6800	289
7249000	2716	-4311	380	-130	551	-3318	-6131	2053	29344	22594	-119	6120	6840	289
7301000	2645	-4115	416	-241	1054	-2707	-9488	832	29399	23245	-119	6040	6800	292
7349000	2747	-4336	-92	250	1424	4738	11934	-2768	29763	20391	-239	6159	6760	294
7401000	2844	-4219	411	-270	1492	2541	-8328	2724	28715	21655	-239	6159	6719	296
7449000	2682	-4135	21	-180	1358	-11374	2840	-3623	29941	20835	-360	6240	6600	298
7501000	2636	-4239	-98	-68	938	6630	6563	1564	31209	20784	-239	6240	6640	299
7549000	2576	-4142	116	-25	1013	5715	-9061	4189	31586	21788	-480	6199	6600	299
7601000	2536	-4289	49	54	1093	343	8028	39	31035	22429	-960	6120	6879	301
7649000	2518	-4518	346	-43	1205	-4416	-2408	1198	30248	21229	-960	6040	6919	302
7701000	2531	-4438	277	117	1683	9255	-8084	3273	32805	21832	-1440	6319	6960	303
7749000	2488	-4696	-28	36	1530	5043	12056	-2097	33069	19315	-1440	6319	6960	303
7801000	2555	-4725	82	-162	206	7301	-9244	3640	31912	19351	-719	6240	6960	303
7849000	2596	-4542	-244	-33	893	-815	13765	-4965	30642	19499	-960	6120	6919	304
7901000	2579	-4825	191	27	752	-83	-5216	6935	31350	18134	-840	6199	6919	304
7949000	2609	-4380	33	-103	892	-6552	948	-1181	26230	21137	-599	5680	6919	305
8001000	2704	-4753	99	21	910	1320	-6436	3151	19529	19111	-599	4960	6960	304
8049000	2640	-4337	-19	-69	1480	-1181	9188	-83	19601	20500	-599	4920	6800	305
8101000	2637	-5012	68	71	1230	-6247	-9610	3151	19075	15482	-599	4839	6800	305
8149000	2594	-4458	-269	78	994	-11557	29818	466	19548	17785	-719	4879	6719	305
8201000	2713	-5128	-103	235	1502	6630	-40128	8339	17375	13436	-599	4719	6680	305
8249000	3065	-5608	236	163	1063	4067	19136	7912	14760	7815	-719	4719	6680	304
8301000	3042	-4167	-58	41	896	-205	582	14565	14875	20372	-719	4760	6519	305
8349000	3230	-5801	297	125	1172	2175	-34574	5715	13299	7929	-599	4719	6440	305
8401000	3018	-5329	84	38	928	2541	41475	-510	14737	8927	-599	4719	6359	306
