time_ms,imu_roll,imu_pitch,ax,ay,az,gx,gy,gz,Setpoint_rollRate,"set_pitchRate,",Setpoint_yawRate,Setpoint_roll,Setpoint_pitch
101000,2079,-1396,65,88,1014,-22,-28,100,-6237,-4190,240,0,0
149000,2739,-1838,67,85,1023,-22,-89,-144,-7922,-5312,359,0,0
201000,3282,-2216,59,85,1013,-83,-211,39,-9727,-6768,480,39,-39
249000,3668,-2485,58,90,1009,-22,-28,-83,-10954,-7216,359,-39,39
301000,3993,-2704,66,90,1012,-22,-211,39,-11979,-8114,359,0,0
349000,4221,-2864,57,85,997,38,-211,-22,-12559,-8517,359,0,0
401000,4409,-2997,57,85,1017,-22,-28,39,-13229,-8991,480,0,0
449000,4545,-3095,63,88,1003,-83,-211,-144,-13693,-9241,359,-39,0
501000,4663,-3179,54,92,1048,-22,-28,222,-13990,-9658,359,0,-39
549000,4748,-3238,57,80,854,221,-394,-1669,-14206,-9677,240,0,0
601000,4817,-3301,63,98,1084,-2768,-882,2358,-14452,-9905,240,0,0
649000,4870,-3305,38,34,857,-1487,-821,-2890,-14588,-9916,359,0,0
701000,4911,-3359,21,92,1030,-2097,154,2480,-14615,-10199,240,39,-39
749000,4935,-3383,32,58,1012,1503,1375,-1364,-14882,-10060,119,-39,39
801000,4976,-3354,54,113,931,99,1436,588,-15050,-9943,119,-39,39
849000,4991,-3324,18,61,763,-632,216,832,-14977,-9975,119,0,0
901000,5047,-3333,45,125,1045,710,-89,-632,-15142,-10000,0,0,0
949000,5088,-3323,50,132,1059,-144,338,405,-15261,-10075,0,0,-39
1001000,5098,-3387,45,122,978,649,-1309,893,-15415,-10163,0,-39,0
1049000,5120,-3408,31,90,980,99,643,-144,-15350,-10240,0,0,0
1101000,5100,-3416,70,78,960,-693,-150,1381,-15300,-10249,119,0,0
1149000,5105,-3492,44,127,1007,-266,-943,222,-15184,-10577,240,39,-39
1201000,5130,-3468,53,87,1057,-571,1375,344,-15392,-10404,240,0,0
1249000,5119,-3431,143,17,1228,-327,-150,-22,-15506,-10294,240,-39,0
1301000,5038,-3459,-40,126,893,-4843,-882,-2097,-15114,-10377,240,0,0
1349000,5058,-3398,167,9,666,6142,-1431,39,-15057,-10184,119,0,0
1401000,5000,-3378,-16,87,1090,-1303,582,4250,-15000,-10135,119,0,0
1449000,4927,-3336,-180,157,926,2114,-89,5227,-14810,-9979,240,0,0
1501000,4908,-3309,-14,98,812,1076,338,1259,-14724,-9927,240,0,0
1549000,4905,-3236,-17,11,910,710,582,2480,-14793,-9601,119,-39,39
1601000,4932,-3239,90,17,1191,-266,-638,-144,-14798,-9717,119,0,0
1649000,4938,-3242,83,145,762,221,-1248,-1425,-14837,-9769,119,0,0
1701000,4946,-3231,94,135,902,343,-1126,-632,-14840,-9693,240,0,0
1749000,4949,-3226,-83,86,1014,-693,2169,832,-14989,-9769,240,-39,0
1801000,4997,-3146,79,148,1314,2297,-394,-1364,-15113,-9438,240,-39,0
1849000,5007,-3161,-80,236,884,2297,-516,1198,-15032,-9475,119,0,0
1901000,5027,-3124,-38,-95,1334,99,2413,-1914,-15083,-9372,119,0,0
1949000,5045,-3103,339,207,1056,1930,-3873,4067,-15066,-9201,119,0,0
2001000,5074,-3156,182,245,1396,1015,-333,710,-15104,-9588,240,39,-39
2049000,5025,-3033,-151,37,814,-1120,2718,-6003,-15258,-9173,119,-39,0
2101000,5039,-3051,170,140,469,-1059,-3629,9072,-15239,-9033,119,-39,39
2149000,5018,-3022,140,194,1516,1625,1253,-5881,-15035,-9127,119,0,0
2201000,5018,-2957,45,200,1492,2114,-1248,-7895,-15055,-8873,119,0,0
2249000,5034,-3065,-179,-170,455,-876,-272,-2768,-15236,-9136,0,-39,0
2301000,5037,-3039,320,141,1232,-1364,32,14809,-15232,-9117,0,-39,0
2349000,5061,-3092,122,225,1441,954,-2530,-12473,-15147,-9242,0,0,0
2401000,5098,-3111,100,173,1042,38,2047,-6308,-15414,-9213,0,-39,39
2449000,5095,-3033,-172,14,714,-2890,-760,-9970,-15312,-9081,-119,0,0
2501000,5135,-3141,25,-79,1255,3639,277,17922,-15406,-9423,-119,0,0
2549000,5088,-3013,337,147,684,-4172,1131,-1731,-15333,-9037,119,0,0
2601000,5026,-3104,400,91,934,-205,-2042,12368,-15078,-9434,119,0,-39
2649000,5002,-3027,87,242,1234,1015,1314,-13693,-14999,-9178,0,0,0
2701000,4980,-3080,38,217,528,-754,-2347,-10764,-14940,-9242,119,0,0
2749000,4984,-3085,-293,34,991,2052,2840,2358,-14942,-9363,0,0,0
2801000,4909,-2986,-61,173,785,160,2718,-9116,-14729,-8960,0,0,0
2849000,4791,-3020,-56,230,756,832,-1676,-266,-14473,-9023,0,0,0
2901000,4750,-3039,33,112,1517,-1609,2901,5104,-14250,-9119,0,0,0
2949000,4725,-2919,-68,-34,560,-693,1680,4555,-14206,-8918,-119,0,-39
3001000,4791,-2958,-20,269,934,1747,-3507,39,-14495,-8876,-360,-39,0
3049000,4839,-2876,55,107,500,-5637,3878,-3317,-14573,-8842,-719,0,-39
3101000,4865,-2891,-90,-123,1269,1381,-3201,5593,-14596,-8674,-480,0,0
3149000,4896,-2945,-148,-65,1240,-937,5770,2480,-14599,-9095,-119,39,-39
3201000,4847,-2800,57,158,845,2175,-3873,1381,-14422,-8522,0,39,-39
3249000,4852,-2994,-158,107,795,-2829,3756,-4538,-14694,-8993,0,-39,0
3301000,4884,-2858,-156,-30,1248,1564,1253,11330,-14653,-8696,0,0,-39
3349000,4891,-2897,-155,16,1755,-144,1192,2480,-14650,-8720,119,0,0
3401000,4896,-2913,-148,111,414,2114,2413,8278,-14689,-8739,119,0,0
3449000,4866,-2839,-254,145,1230,1808,3328,-2585,-14640,-8546,0,0,0
3501000,4850,-2960,25,111,1388,-1914,-4544,9133,-14551,-8881,0,0,0
3549000,4853,-2914,-25,66,1211,-876,6868,-1303,-14590,-8868,119,0,0
3601000,4820,-3028,221,297,1320,649,-9183,-22,-14341,-9204,119,39,-39
3649000,4815,-3034,201,311,637,-2707,7784,-8322,-14519,-9254,0,0,0
3701000,4811,-2957,179,157,328,1503,-3873,527,-14555,-8751,0,-39,39
3749000,4875,-3000,3,49,639,1015,2962,-3623,-14574,-9092,0,0,0
3801000,4923,-2892,288,289,1112,2175,-1004,-3012,-14769,-8677,0,0,0
3849000,4962,-2925,63,284,1300,-2158,-455,-6674,-14778,-8911,119,39,-39
3901000,4961,-2817,49,193,1577,-1303,-2164,-6918,-14884,-8451,119,0,0
3949000,4925,-2710,92,243,639,-3928,-1004,-5637,-14992,-8005,119,-39,39
4001000,4896,-2813,150,-43,1524,1747,-2164,-2585,-14690,-8440,119,0,0
4049000,4852,-2713,160,99,1179,-2463,3206,-388,-14537,-8235,119,0,0
4101000,4774,-2668,71,161,1196,893,-3140,-5087,-14324,-8006,0,0,0
4149000,4776,-2825,165,303,1239,3090,32,283,-14241,-8468,119,0,0
4201000,4705,-2615,-64,-118,615,-2158,1619,4616,-14116,-7845,119,0,0
4249000,4642,-2741,204,-27,778,710,-4056,6447,-14037,-8075,0,-39,0
4301000,4599,-2749,172,-78,529,588,4610,4067,-13918,-8249,119,-39,0
4349000,4530,-2668,182,-71,644,2358,-760,2358,-13571,-7959,119,0,0
4401000,4508,-2821,-47,75,893,-1853,1314,4860,-13646,-8465,240,-39,0
4449000,4474,-2785,123,-128,1588,649,1131,3884,-13449,-8484,240,0,-39
4501000,4449,-2774,-50,-151,888,405,887,6020,-13348,-8323,240,0,0
4549000,4403,-2849,-182,-125,464,-1914,-455,6386,-13378,-8659,240,-39,-39
4601000,4407,-2850,-78,62,1181,1259,6014,1259,-13341,-8552,119,-39,0
4649000,4413,-2909,-269,20,1658,3761,-577,2236,-13215,-8664,119,0,0
4701000,4432,-3016,-106,86,1721,2480,338,10231,-13298,-9048,240,0,0
4749000,4423,-2908,-132,-17,999,-4477,1619,4555,-13362,-8743,119,0,0
4801000,4410,-3041,82,262,694,3395,93,1870,-13232,-9125,119,0,0
4849000,4411,-2986,81,244,817,1320,4610,-3928,-13277,-9044,240,0,0
4901000,4429,-2921,58,62,870,2663,-1370,2236,-13167,-8884,240,39,-39
4949000,4455,-2981,-139,20,1072,-22,-89,-1547,-13471,-8871,119,-39,39
5001000,4453,-2867,319,223,1001,649,826,-6125,-13481,-8483,240,-39,39
5049000,4472,-2861,245,199,981,99,93,-8933,-13415,-8616,119,0,0
5101000,4489,-2973,42,263,443,2175,338,-4782,-13469,-8919,119,0,0
5149000,4496,-2840,67,184,1139,954,3145,-4050,-13459,-8609,240,0,0
5201000,4445,-2919,45,-76,796,-388,-2530,-1486,-13335,-8758,240,0,0
5249000,4378,-2961,28,-138,765,-1853,4549,3273,-13168,-8927,240,0,0
5301000,4188,-2872,28,-101,508,38,-2347,1259,-12684,-8496,119,-39,39
5349000,4052,-3167,77,-59,953,-22,-2774,1992,-12237,-9346,240,0,0
5401000,3914,-3030,-190,56,1310,-3318,3267,4616,-11744,-9090,119,0,0
5449000,3828,-3066,-146,81,1123,-2707,-6009,1503,-11606,-9018,240,0,0
5501000,3893,-3084,-176,243,1241,2785,6868,5104,-11680,-9732,480,0,-160
5549000,3987,-2810,-51,10,665,1503,-1554,2785,-12059,-9655,359,-39,-399
5601000,4122,-3029,15,134,1029,2724,-5765,7424,-12366,-10407,359,0,-440
5649000,4191,-2821,80,-253,1052,1381,2535,466,-12594,-9769,359,-39,-399
5701000,4252,-2785,116,284,884,282,-5826,710,-12758,-8476,240,0,-39
5749000,4338,-2949,28,0,929,-2341,-2164,-5393,-13019,-8959,359,0,-39
5801000,4355,-2804,21,209,824,-2280,2169,-2951,-12946,-8652,359,39,-80
5849000,4414,-2866,168,38,794,343,-3568,-3256,-13353,-8508,240,-39,0
5901000,4408,-2989,176,43,1007,-937,1253,-5271,-13344,-9089,240,-39,-39
5949000,4416,-2958,-93,138,809,-1059,1253,-2158,-13227,-9050,240,0,-39
6001000,4413,-3115,-39,123,763,-388,-2591,4067,-13360,-9347,359,-39,0
6049000,4440,-3181,63,69,996,771,1619,-1731,-13290,-9654,240,0,-39
6101000,4462,-3180,38,21,708,2480,-760,39,-13388,-9660,119,0,-39
6149000,4506,-3265,140,85,1314,-1242,-577,-1608,-13479,-10007,240,0,-80
6201000,4509,-3293,58,59,962,1381,1314,161,-13529,-9999,240,0,-39
6249000,4511,-3362,45,36,842,-1853,-943,-693,-13573,-10161,240,0,-39
6301000,4524,-3441,56,69,1151,-205,-272,100,-13572,-10444,240,0,-39
6349000,4536,-3434,9,67,936,282,826,1137,-13518,-10540,359,39,-80
6401000,4553,-3488,43,97,1200,-1059,-1004,161,-13660,-10586,359,0,-39
6449000,4565,-3510,119,60,960,-1548,277,-632,-13741,-10644,359,0,-39
6501000,4602,-3479,-6,141,892,1076,521,161,-13806,-10559,480,0,-39
6549000,4655,-3510,-2,125,1048,1503,277,771,-14051,-10528,359,-39,0
6601000,4692,-3460,-8,106,1071,160,1375,283,-14198,-10381,359,-39,0
6649000,4717,-3412,81,73,1061,-22,-516,-1364,-14143,-10366,359,0,-39
6701000,4768,-3391,119,79,1139,-1548,-333,-205,-14304,-10295,359,0,-39
6749000,4827,-3310,126,49,927,-1181,154,-815,-14463,-10092,480,0,-39
6801000,4942,-3282,111,94,927,710,-699,-1242,-14827,-9966,480,0,-39
6849000,5011,-3321,16,114,1119,1564,338,344,-15088,-9957,480,-39,0
6901000,5053,-3344,64,98,1036,-327,-150,-815,-15280,-10153,480,-39,-39
6949000,5081,-3374,54,23,1076,-1364,-28,-510,-15223,-10239,480,0,-39
7001000,5060,-3397,81,81,1089,-998,154,466,-15182,-10433,359,0,-80
7049000,5022,-3418,92,37,1134,-510,-89,283,-15098,-10366,480,0,-39
7101000,4948,-3440,68,60,1181,1198,-394,1503,-14844,-10441,480,0,-39
7149000,4896,-3430,47,95,1169,2480,154,-83,-14682,-10546,359,0,-80
7201000,4866,-3417,34,121,1023,2236,521,-1181,-14718,-10373,480,-39,-39
7249000,4849,-3419,-38,146,946,2114,765,-1425,-14503,-10414,480,0,-39
7301000,4841,-3412,42,64,963,-205,-821,-754,-14643,-10357,480,-39,-39
7349000,4807,-3443,-14,52,941,-998,-455,-144,-14333,-10568,480,39,-80
7401000,4804,-3453,-4,22,933,-1853,460,1259,-14413,-10481,480,0,-39
7449000,4819,-3464,53,43,1037,-1181,-638,1137,-14606,-10609,480,-39,-80
