19⇥	0.00␍␊
39⇥	0.00␍␊
60⇥	0.00␍␊
80⇥	0.00␍␊
101⇥	0.00␍␊
121⇥	0.00␍␊
142⇥	0.00␍␊
162⇥	0.00␍␊
183⇥	0.00␍␊
203⇥	0.00␍␊
224⇥	0.00␍␊
244⇥	0.00␍␊
265⇥	0.00␍␊
285⇥	0.00␍␊
306⇥	0.00␍␊
326⇥	0.00␍␊
347⇥	0.00␍␊
367⇥	0.00␍␊
388⇥	0.00␍␊
407⇥	0.00␍␊
428⇥	0.00␍␊
448⇥	0.00␍␊
468⇥	0.00␍␊
489⇥	0.00␍␊
509⇥	0.00␍␊
530⇥	0.00␍␊
550⇥	0.00␍␊
571⇥	0.00␍␊
591⇥	0.00␍␊
612⇥	0.00␍␊
632⇥	0.00␍␊
653⇥	0.00␍␊
673⇥	0.00␍␊
694⇥	0.00␍␊
714⇥	0.00␍␊
735⇥	0.00␍␊
755⇥	0.00␍␊
776⇥	0.00␍␊
796⇥	0.00␍␊
817⇥	0.00␍␊
837⇥	0.00␍␊
858⇥	0.00␍␊
878⇥	0.00␍␊
899⇥	0.00␍␊
919⇥	0.00␍␊
940⇥	0.00␍␊
959⇥	0.00␍␊
979⇥	0.00␍␊
1000⇥	0.00␍␊
1020⇥	0.00␍␊
1041⇥	0.00␍␊
1061⇥	0.00␍␊
1082⇥	0.00␍␊
1102⇥	0.00␍␊
1124⇥	0.00␍␊
1144⇥	0.00␍␊
1165⇥	0.00␍␊
1185⇥	0.00␍␊
1206⇥	0.00␍␊
1226⇥	-0.81␍␊
1247⇥	-2.16␍␊
1267⇥	-3.78␍␊
1288⇥	-5.76␍␊
1308⇥	-8.01␍␊
1329⇥	-10.44␍␊
1349⇥	-13.14␍␊
1370⇥	-15.93␍␊
1390⇥	-18.81␍␊
1411⇥	-21.51␍␊
1432⇥	-24.03␍␊
1453⇥	-26.10␍␊
1473⇥	-27.81␍␊
1494⇥	-28.98␍␊
1514⇥	-29.43␍␊
1534⇥	-29.34␍␊
1555⇥	-28.53␍␊
1575⇥	-27.09␍␊
1597⇥	-24.93␍␊
1617⇥	-22.32␍␊
1638⇥	-19.08␍␊
1658⇥	-15.48␍␊
1679⇥	-11.61␍␊
1699⇥	-7.38␍␊
1720⇥	-3.06␍␊
1740⇥	1.35␍␊
1761⇥	5.67␍␊
1782⇥	9.99␍␊
1803⇥	13.95␍␊
1823⇥	17.73␍␊
1844⇥	21.06␍␊
1864⇥	23.94␍␊
1885⇥	26.28␍␊
1905⇥	28.08␍␊
1926⇥	29.25␍␊
1946⇥	29.79␍␊
1968⇥	29.79␍␊
1988⇥	29.16␍␊
2009⇥	27.81␍␊
2029⇥	26.01␍␊
2050⇥	23.58␍␊
2070⇥	20.70␍␊
2091⇥	17.46␍␊
2111⇥	13.86␍␊
2132⇥	9.90␍␊
2153⇥	5.85␍␊
2173⇥	1.71␍␊
2194⇥	-2.43␍␊
2214⇥	-6.48␍␊
2235⇥	-10.35␍␊
2255⇥	-13.95␍␊
2276⇥	-17.19␍␊
2296⇥	-19.98␍␊
2318⇥	-22.32␍␊
2338⇥	-24.12␍␊
2359⇥	-25.38␍␊
2379⇥	-26.01␍␊
2400⇥	-26.10␍␊
2420⇥	-25.65␍␊
2441⇥	-24.48␍␊
2461⇥	-22.77␍␊
2483⇥	-20.61␍␊
2503⇥	-17.91␍␊
2524⇥	-14.85␍␊
2544⇥	-11.43␍␊
2565⇥	-7.74␍␊
2585⇥	-3.87␍␊
2606⇥	0.09␍␊
2626⇥	4.05␍␊
2647⇥	7.92␍␊
2668⇥	11.61␍␊
2689⇥	15.12␍␊
2709⇥	18.27␍␊
2729⇥	20.97␍␊
2750⇥	23.31␍␊
2770⇥	25.11␍␊
2791⇥	26.37␍␊
2811⇥	27.09␍␊
2833⇥	27.18␍␊
2853⇥	26.82␍␊
2874⇥	25.83␍␊
2894⇥	24.30␍␊
2915⇥	22.23␍␊
2935⇥	19.80␍␊
2956⇥	16.92␍␊
2976⇥	13.68␍␊
2997⇥	10.26␍␊
3018⇥	6.57␍␊
3039⇥	2.88␍␊
3059⇥	-0.90␍␊
3080⇥	-4.68␍␊
3100⇥	-8.19␍␊
3121⇥	-11.52␍␊
3141⇥	-14.58␍␊
3162⇥	-17.28␍␊
3182⇥	-19.53␍␊
3204⇥	-21.24␍␊
3224⇥	-22.59␍␊
3245⇥	-23.31␍␊
3265⇥	-23.49␍␊
3286⇥	-23.13␍␊
3306⇥	-22.32␍␊
3326⇥	-20.88␍␊
3347⇥	-18.99␍␊
3368⇥	-16.65␍␊
3389⇥	-13.95␍␊
3409⇥	-10.89␍␊
3430⇥	-7.65␍␊
3450⇥	-4.14␍␊
3471⇥	-0.54␍␊
3491⇥	3.06␍␊
3512⇥	6.57␍␊
3532⇥	9.99␍␊
3553⇥	13.23␍␊
3574⇥	16.11␍␊
3595⇥	18.72␍␊
3615⇥	20.88␍␊
3636⇥	22.59␍␊
3656⇥	23.85␍␊
3677⇥	24.57␍␊
3697⇥	24.84␍␊
3718⇥	24.57␍␊
3738⇥	23.76␍␊
3760⇥	22.41␍␊
3780⇥	20.70␍␊
3801⇥	18.54␍␊
3821⇥	15.93␍␊
3842⇥	13.05␍␊
3862⇥	9.99␍␊
3883⇥	6.66␍␊
3903⇥	3.33␍␊
3923⇥	-0.18␍␊
3944⇥	-3.51␍␊
3965⇥	-6.75␍␊
3986⇥	-9.81␍␊
4006⇥	-12.60␍␊
4027⇥	-15.12␍␊
4047⇥	-17.19␍␊
4068⇥	-18.90␍␊
4088⇥	-20.07␍␊
4109⇥	-20.79␍␊
4129⇥	-21.06␍␊
4151⇥	-20.88␍␊
4171⇥	-20.07␍␊
4192⇥	-18.90␍␊
4212⇥	-17.19␍␊
4233⇥	-15.21␍␊
4253⇥	-12.78␍␊
4274⇥	-9.99␍␊
4294⇥	-7.11␍␊
4315⇥	-3.96␍␊
4336⇥	-0.72␍␊
4357⇥	2.52␍␊
4377⇥	5.76␍␊
4398⇥	8.91␍␊
4418⇥	11.79␍␊
4439⇥	14.49␍␊
4459⇥	16.83␍␊
4480⇥	18.81␍␊
4500⇥	20.43␍␊
4520⇥	21.60␍␊
4542⇥	22.23␍␊
4562⇥	22.50␍␊
4583⇥	22.32␍␊
4603⇥	21.60␍␊
4624⇥	20.43␍␊
4644⇥	18.90␍␊
4665⇥	16.92␍␊
4685⇥	14.67␍␊
4706⇥	12.06␍␊
4727⇥	9.27␍␊
4748⇥	6.30␍␊
4768⇥	3.24␍␊
4789⇥	0.18␍␊
4809⇥	-2.88␍␊
4830⇥	-5.85␍␊
4850⇥	-8.64␍␊
