time_ms,imu_roll,imu_pitch,ax,ay,az,gx,gy,gz,Setpoint_rollRate,set_pitchRate,Setpoint_yawRate,Setpoint_roll,Setpoint_pitch,radio_3,height,heightRate,Setpoint_heightRate,height_PID_output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50000,231,9,7,8,1001,-15,64,-76,-1808,-175,240,-80,-39,0,112,549,-1600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101000,312,-21,-7,-18,975,-15,3,45,-2282,-355,359,-80,-39,0,97,391,-1600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150000,246,-17,13,-13,1000,-76,64,45,-2133,-99,119,-119,0,0,144,458,-1600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201000,139,-27,-4,5,1025,-15,3,-137,-1506,-162,240,-119,0,0,95,153,-1600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250000,112,-24,-1,7,1031,-76,64,167,-1120,-607,240,-80,-80,0,83,28,-1600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301000,119,-17,-3,7,996,45,-57,-137,-1161,-103,240,-80,0,0,93,49,-1600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350000,120,-11,4,9,996,-76,-57,228,-1163,-300,240,-80,-39,0,88,10,-1600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401000,132,-13,11,12,1009,-15,-118,-260,-1235,-311,359,-80,-39,0,124,148,-1600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450000,150,-29,-2,13,1016,45,-57,106,-1804,-401,359,-160,-39,0,116,147,-1600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,-741,119,-80,-80,0,106,16,-1600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601000,140,-42,-8,11,1004,-260,125,-1,-57,45,-1349,-395,359,-80,-39,0,107,77,,,,,,-118,167,-916,-255,359,-80,-39,0,128,92,-850000,39,12,-1,5,996,-76,3,-15,-696,-162,240,-80,-39,0,112,-25,-1600,0
901000,34,12,-1,-6,989,-15,3,-15,-663,-161,240,-80,-39,0,141,93,-1600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950000,23,6,0,0,982,-15,3,45,-602,-427,119,-80,-80,0,126,63,-1600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001000,17,11,-2,3,994,-76,-57,228,-566,-165,240,-80,-39,0,85,-125,-1600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050000,22,13,3,1,1000,-15,64,45,-830,-385,240,-119,-80,0,91,-111,-1600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101000,25,19,1,-1,995,-15,3,167,-847,-119,240,-119,-39,0,72,-145,-1600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150000,25,20,-1,-5,999,-137,3,-76,-613,-112,359,-80,-39,0,116,21,-1600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201000,21,24,3,6,1010,-15,-118,106,-588,143,240,-80,0,0,106,-18,-1600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250000,23,16,0,4,1000,-76,125,-198,-602,-134,240,-80,-39,0,94,-54,-1600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301000,28,8,0,-2,993,-137,3,106,-861,-185,359,-119,-39,0,130,55,-1600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350000,39,3,1,-3,1002,-15,125,-137,-926,21,359,-119,0,0,80,-126,-1600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1401000,42,1,-4,14,1019,-15,3,45,-946,-223,480,-119,-39,0,110,-44,-1600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450000,47,-1,0,3,1012,-76,64,-198,-972,-6,3119,-119,0,2,109,0,-1592,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501000,46,-4,2,2,1008,-15,3,45,-967,-258,359,-119,-39,94,82,48,-1022,171,,,,,,-6,-840,190,,,,,,,,,,,,,,,,,,,,,,,,,,
1701000,127,134,-76,94,1141,2242,2689,-1297,-1207,547,359,-80,-39,218,62,-152,-728,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750000,118,124,42,-82,1061,2913,2445,1082,-1155,259,359,-80,-80,223,140,86,-708,1000,,,,,,1510,491,1571,-1398,1028,359,-119,0,223,118,49,-708,223,,,,,,,,,,,,,,,,
6,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901000,102,221,-17,49,995,-565,3,-809,-831,1055,240,-32001000,27,171,-133,-301,336,-5814,,,,,,-119,0,221,98,-235,-716,221,,,,,,,,,,,,,,,,,,,,,,
2050000,1,190,-41,80,771,-809,-1339,-1785,-473,875,359,-80,-39,221,92,-364,-716,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2101000,28,188,70,225,1314,-321,-179,1448,-632,866,359,-80,-39,222,81,-148,-712,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2150000,7,160,82,126,987,-4593,-545,6392,-275,466,359,-39,-80,223,123,126,-708,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2201000,22,162,-58,221,1934,1754,-667,-809,-597,709,359,-80,-39,222,133,536,-712,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2250000,4,138,74,223,1173,-7340,1468,2181,-492,339,240,-80,-80,222,125,545,-712,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2301000,-15,124,-3,170,1509,-1175,-57,-992,-377,260,240,-80,-80,221,96,210,-716,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2350000,1,57,10,299,1934,472,-1400,-1541,-706,100,359,-119,-39,222,159,400,-712,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2401000,-24,35,141,29,661,-3739,3,-3006,-321,-25,359,-80,-39,222,121,-18,-712,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
