time_ms,imu_roll,imu_pitch,ax,ay,az,gx,gy,gz,Setpoint_rollRate,set_pitchRate,Setpoint_yawRate,Setpoint_roll,Setpoint_pitch,radio_3,height,heightRate,
101000,-67,-109,-6,0,994,-97,-28,84,-70,-868,240,-80,-39,0,161,668,161000
150000,-48,-121,-15,11,989,24,-89,-98,-414,-937,240,-119,-39,0,170,563,125000
201000,-17,-120,13,3,1002,24,93,23,-361,-933,480,-80,-39,0,120,206,120000
250000,4,-122,-1,-4,994,24,-89,84,-492,-1178,359,-80,-80,0,114,261,118000
301000,22,-125,-4,5,1010,-36,-28,-98,-595,-1194,359,-80,-80,0,155,153,155000
350000,48,-125,-12,12,1002,-36,32,267,-747,-1197,240,-80,-80,0,103,-5,94000
401000,73,-121,-18,2,1002,24,-89,-159,-1124,-1172,240,-119,-80,0,73,-125,73000
450000,76,-118,-54,9,1000,24,-28,267,-1140,-1153,480,-119,-80,0,121,86,95000
501000,72,-122,-33,6,1002,24,32,-220,-888,-1411,359,-80,-119,0,155,183,155000
550000,69,-130,-1,-1,989,85,-89,23,-868,-1454,480,-80,-119,75,135,146,101000
601000,61,-134,18,-5,993,24,32,-98,-825,-1248,359,-80,-80,88,138,84,138000
650000,54,-140,7,-4,996,24,32,-37,-782,-1284,359,-80,-80,900,31,-152,-1
801000,22,-143,2,10,999,-97,32,145,-594,-1301,1000,17,-131,0,5,995,85
950000,18,-122,3,0,991,24,-28,-37,-574,-1406,359,-80,-119,115,145,55,58000
1001000,18,-115,-1,-7,1008,-97,32,84,-803,-1137,359,-119,-80,152,121,-89,121000
1050000,-5,-115,-24,-89,1232,695,-1371,5394,-431,-1137,359,-80,-80,153,128,-115,151000
1101000,-60,-57,-65,-174,834,-10229,5037,-5958,-110,-799,240,-80,-80,151,95,-318,95000
1150000,-84,-85,23,-41,966,-8825,2534,4234,24,-961,359,-80,-80,153,71,-190,114000
1201000,-71,-66,21,57,994,1306,-150,-3089,-48,-1084,359,-80,-119,153,109,-39,109000
1250000,-66,-30,21,-53,1037,-158,398,999,-79,-873,359,-80,-119,164,111,-26,85000
1301000,-88,-47,8,30,977,-402,-211,450,47,-743,480,-80,-80,174,108,-31,108000
1350000,-50,14,-46,-8,1032,756,93,-1685,-168,-382,480,-80,-80,178,161,240,129000
1401000,-49,38,-17,39,1029,-769,642,3135,56,-472,480,-39,-119,193,159,161,159000
1450000,-44,25,117,-54,1181,-2539,764,-1990,-208,-314,359,-80,-80,238,79,-234,126000
1501000,-56,65,-69,-61,1128,3442,-2836,450,-369,147,240,-119,-39,265,141,94,141000
1550000,17,68,-137,-7,872,-1379,2534,694,-567,-64,240,-80,-80,287,182,220,106000
1601000,-10,69,-213,-30,363,-3881,3206,6492,-405,-291,240,-80,-119,287,151,-148,151000
1650000,14,115,-142,160,720,2709,-578,5577,-783,437,240,-119,-39,287,151,80,287
1901000,21,59,128,-61,401,634,-1432,-37,-589,-116,240,-80,-80,286,137,-90,137000
1950000,77,27,-35,34,839,756,3145,-2296,-916,-303,359,-80,-80,287,126,-121,130000
2001000,170,-100,250,133,1256,2282,5037,-5592,-1454,-816,240,-80,-39,286,141,23,141000
2050000,246,-52,13,-7,867,-341,-2409,3868,-2132,-768,359,-119,-80,287,85,-229,173000
2101000,259,-140,-116,34,922,-3027,-1005,84,-1973,-1515,240,-80,-119,286,171,134,171000
2150000,232,-195,43,-102,1029,1733,459,-892,-2051,-1833,240,-119,-119,287,132,-1,180000
2201000,146,-127,-6,-61,956,-1379,-4423,2586,-1550,-1205,359,-119,-80,287,167,79,167000
2250000,99,-192,-177,-35,853,1550,2656,-2662,-1506,-653,359,-160,79,295,160,36,175000
2301000,61,-51,86,84,905,-1745,581,1121,-1053,-69,7680,-119,39,294,107,-355,107000
2350000,69,26,-147,-77,1237,1062,-2592,-831,-867,1082,5039,-80,160,302,122,-289,95000
2401000,17,-39,-38,-69,634,-952,-28,2830,-569,-693,240,-80,-80,308,112,-378,112000
2450000,-47,181,89,36,1080,2038,3816,-3822,-189,357,359,-80,-119,309,155,16,88000
2501000,-77,20,12,-5,875,24,-5765,572,-12,-578,599,-80,-119,309,131,-72,131000
2550000,-50,121,-140,-103,1056,-585,6074,1243,-170,239,599,-80,-80,311,124,-189,143000
2601000,0,86,95,-9,1368,1306,-6681,389,-469,38,480,-80,-80,322,125,-19,125000
,,,,,,,,,,,,,,,,,
2850000,-10,181,270,-39,918,1794,-2531,999,-404,588,359,-80,-80,326,100,-49,193000
2901000,-57,57,76,-70,965,-1135,3206,1060,-132,-131,480,-80,-80,324,145,152,145000
2950000,-58,198,-181,-23,1562,-1745,-944,3258,-357,691,1799,-119,-80,325,106,-242,130000
3001000,-19,11,-85,-54,1041,6372,-2836,-2113,-352,-395,3000,-80,-80,0,,,
3101000,55,47,-134,46,1099,6066,-12418,2586,-787,-191,2879,-80,-80,327,110,-146,110000
3150000,15,-13,38,93,265,4,359,-119,-119,384,120,-69,120000,,,,
3250000,64,-168,-77,32,723,-4187,947,1488,-1070,-1679,359,-119,-119,384,84,-217,130000
3301000,111,275,37,16,1371,4846,6318,694,-1111,673,359,-80,-160,384,91,-18,91000
3350000,85,220,87,106,1292,7409,-9855,755,-961,352,359,-80,-160,383,103,-183,68000
3401000,160,168,-108,-43,1052,6738,-3019,-2296,-1397,50,359,-80,-160,385,94,-81,94000
3450000,202,230,-82,-77,1307,-463,-8146,2037,-1639,409,359,-80,-160,399,119,86,102000
3501000,243,-28,45,-53,1545,11193,-2897,-1380,-1881,-861,240,-80,-119,405,152,255,152000
3550000,170,243,270,180,1463,14611,-8451,1304,-1686,949,240,-119,-80,407,69,-392,129000
3601000,176,-125,-109,152,1220,15283,-10526,-4676,-1490,-1428,240,-80,-119,420,127,-8,127000
3650000,98,145,-30,-336,909,-2111,14314,2708,-1270,379,480,-119,-80,429,164,65,104000
3701000,129,-300,-18,-54,1150,146,-12785,877,-1451,-2213,359,-119,-80,434,129,-53,129000
3750000,89,-139,0,-216,1470,1550197,156,-71,-26,445,-6018,4243,816,-1612,-487,480,-80
4001000,179,411,-48,46,1154,1000,-2714,-159,-1741,1227,240,-119,-199,435,154,349,126000
4050000,175,163,136,24,1297,5090,-4118,-709,-1720,-444,240,-119,-240,435,131,-58,99000
4101000,175,476,258,-78,605,2160,-14127,511,-1484,1374,359,-80,-240,436,182,188,182000
4150000,166,349,-152,185,1419,2343,9187,-37,-1433,866,240,-80,-199,445,115,-72,98008
4301000,69,323,283,-164,1262,3015,-10038,2281,-871,1183,359,-80,-119,449,189,276,189000
4350000,-6,-88,-419,-22,1451,268,14924,-1319,-424,-1209,240,-80,-119,450,100,99,86000
4401000,-57,-43,426,-126,482,-2905,-11930,2403,-128,-717,240,-80,-80,456,131,-74,131000
4450000,-143,-139,-503,66,813,-3576,3511,-2296,136,-1278,240,-119,-80,478,195,391,132000
4501000,-125,72,-197,-131,532,-4797,6990,-465,262,-276,240,-80,-119,490,104,-129,104000
4550000,-143,29,321,277,974,-1806,-6010,1365,371,-525,359,-80,-119,492,98,-207,106000
4601000,-81,-28,-563,-194,1123,3259,1619,-465,8,-1097,359,-80,-160,494,131,3,131000
4650000,-42,131,478,48,1077,-3576,-5827,1182,-219,-167,359,-80,-160,503,91,-34,59000
,,,,,,,,,,,,,,,,,
4901000,124,302,-73,-271,984,-708,12056,1060,-1188,827,359,-80,-160,525,110,-634,110000
4950000,170,138,-281,-9,802,3015,-13944,-37,-1453,-126,240,-80,-160,526,207,-124,142000
5001000,310,33,-114,190,1168,634,14924,938,-2272,-735,240,-80,-160,526,125,-254,125000
5050000,306,50,344,-43,1844,-3393,-14310,5943,-2478,-404,240,-119,-119,527,95,-205,135000
5101000,531,-84,-375,53,1258,-3454,13582,4295,-3787,-1419,240,-119,-160,528,168,180,168000
5150000,504,-37,-765,-146,745,-1623,-3080,23,-3395,-917,240,-80,-119,539,154,245,120000
5201000,560,-224,-414,-215,542,207,6807,5211,-3723,-2233,240,-80,-160,541,149,147,149000
5250000,312,75,-57,113,1751,1245,-11442,8507,-2513,-489,240,-119,-160,541,117,-281,61000
5301000,317,-83,347,-19,-143,5395,5769,2769,-2311,-1412,359,-80,-160,545,95,-765,95000
5350000,85,121,963,139,716,1428,-3568,2830,-960,-221,240,-80,-160,555,42,-913,112000
