time_ms,imu_roll,imu_pitch,ax,ay,az,gx,gy,gz,Setpoint_rollRate,set_pitchRate,Setpoint_yawRate,Setpoint_roll,Setpoint_pitch,radio_3,height,heightRate,Setpoint_heightRate,height_PID_output
50000,-43,37,8,-6,1003,-40,64,94,-213,-246,240,-80,-80,0,144,663,-1600,0
101000,-78,47,4,-2,998,-40,3,33,-9,-420,240,-80,-119,0,161,680,-1600,0
150000,-83,53,6,8,985,-40,-57,33,23,-153,119,-80,-80,0,114,343,-1600,0
201000,-78,51,-5,5,1003,81,3,33,-10,-167,119,-80,-80,0,123,284,-1600,0
250000,-66,50,3,-2,1000,20,-57,-27,156,-401,240,-39,-119,0,89,20,-1600,0
301000,-54,46,-9,4,1000,-40,64,-27,-147,-429,240,-80,-119,0,132,164,-1600,0
350000,-45,47,7,-4,996,-40,64,94,33,-422,240,-39,-119,0,68,-131,-1600,0
401000,-32,42,4,-4,1002,-101,-57,94,-276,-217,119,-80,-80,0,126,100,-1600,0
450000,-25,37,5,-2,998,-101,3,33,-317,-244,119,-80,-80,0,104,-21,-1600,0
501000,-19,27,-1,2,1000,20,64,33,-353,-73,240,-80,-39,0,107,-18,-1600,0
550000,-20,24,-1,-7,999,-101,3,33,-579,-91,240,-119,-39,0,106,-50,-1600,0
601000,-26,28,5,-2,993,20,-57,33,-541,-299,119,-119,-80,0,90,-84,-1600,0
650000,-35,32,-4,4,1016,81,-119,33,-258,-277,119,-80,-80,0,120,34,-1600,0
701000,-38,38,-6,-4,997,-40,-57,33,-238,-471,119,-80,-119,0,147,141,-1600,0
750000,-45,40,0,-8,990,20,3,33,32,-231,119,-39,-80,0,140,89,-1600,0
801000,-54,32,6,-1,994,-40,3,33,-150,-277,240,-80,-80,0,147,132,-1600,0
850000,-56,21,-5,3,1003,20,-57,33,-135,-105,119,-80,-39,0,125,-16,-1600,0
901000,-54,22,-3,7,1000,20,3,-27,-150,-335,240,-80,-80,0,121,-52,-1600,0
950000,-54,25,-9,0,998,-40,3,-27,-148,-18683,119,-80,-3240,0,81,-138,-1600,0
1001000,-54,33,-1,7,997,-40,-57,-27,86,-14686,119,-39,-2560,0,87,-98,-1600,0
1050000,-55,41,7,2,1001,-40,3,94,-140,-225,240,-80,-80,0,106,-10,-1600,0
1101000,-52,44,0,-1,1006,20,64,33,-162,-206,119,-80,-80,0,95,6,-1600,0
1150000,-42,45,-4,-10,1016,20,3,33,17,-432,240,-39,-119,0,140,70,-1600,0
1201000,-44,47,-5,1,990,-40,3,33,-204,-421,119,-80,-119,0,119,20,-1600,0
1250000,-50,49,1,8,985,-40,-57,33,-173,-175,119,-80,-80,0,122,22,-1600,0
1301000,-45,55,-2,0,1002,20,3,94,-199,89,240,-80,-39,0,103,-65,-1600,0
1350000,-41,52,0,-4,999,-40,-119,33,-456,71,119,-119,-39,0,137,105,-1600,0
1401000,-43,45,0,-2,996,-40,3,94,-443,-198,240,-119,-80,0,141,95,-1600,0
1450000,-47,37,2,-5,1001,-40,-57,33,41,-480,240,-39,-119,0,80,-82,-1600,0
1501000,-54,23,0,1,994,20,3,33,82,-559,240,-39,-119,0,138,106,-1600,0
1550000,-62,16,-5,4,996,-40,3,33,132,-369,240,-39,-80,0,163,199,-1600,0
1601000,-68,12,4,-4,995,-40,-57,-27,167,-622,240,-39,-119,0,151,136,-1600,0
1650000,-71,0,5,-3,1008,-40,3,-27,-47,-464,240,-80,-80,0,105,-62,-1600,0
1701000,-68,-11,5,2,992,20,-57,-27,-66,-533,240,-80,-80,0,109,-15,-1600,0
1750000,-61,-14,-8,2,994,20,-57,33,-108,-549,240,-80,-80,0,129,41,-1600,0
1801000,-49,-7,-2,0,1005,-40,-57,-27,-176,-741,119,-80,-119,0,113,-37,-1600,0
1850000,-44,2,5,1,1005,-40,3,94,-438,-450,240,-119,-80,0,123,89,-1600,0
1901000,-39,13,6,1,998,-40,3,33,-467,-385,119,-119,-80,0,146,83,-1600,0
1950000,-28,13,-3,3,991,20,-57,-88,-296,-387,240,-80,-80,0,121,-19,-1600,0
2001000,-14,17,7,7,989,20,3,-27,-380,-362,119,-80,-80,0,96,-113,-1600,0
2050000,-4,18,0,1,1003,20,-57,94,-437,-357,119,-80,-80,0,96,-124,-1600,0
2101000,2,24,3,-2,1009,-40,64,-27,-482,-323,240,-80,-80,0,109,-24,-1600,0
2150000,4,29,3,0,1004,20,3,33,-259,-528,240,-39,-119,0,123,91,-1600,0
2201000,2,32,-10,-4,986,81,3,94,-710,-277,240,-119,-80,0,120,13,-1600,0
2250000,-3,37,-1,0,998,20,3,33,-679,-482,240,-119,-119,0,156,245,-1600,0
2301000,0,43,1,-2,1002,-40,64,33,-463,-675,119,-80,-160,0,129,34,-1600,0
2350000,-6,47,0,-1,1000,-101,-57,33,-427,-190,119,-80,-80,0,96,-99,-1600,0
2401000,-15,49,0,2,1000,-101,3,94,-609,-178,240,-119,-80,0,79,-149,-1600,0
2450000,-16,49,-1,-6,993,20,-57,33,-366,-175,119,-80,-80,16,116,50,-1536,16
2501000,-20,49,2,5,993,-101,3,94,-344,-176,119,-80,-80,65,133,72,-1340,65
2550000,-21,47,-1,5,996,81,3,155,-339,-191,119,-80,-80,84,109,-28,-1264,84
2601000,-19,39,-13,2,1004,20,3,-27,-353,-465,0,-80,-119,84,127,25,-1264,84
2650000,-13,43,1,-5,1003,20,-57,33,-389,-212,119,-80,-80,84,111,-63,-1264,84
2701000,-11,48,-1,1,987,20,3,33,-399,-181,240,-80,-80,84,142,72,-1264,84
2750000,-11,53,-5,-10,1002,-40,3,-88,-629,-156,119,-119,-80,85,132,63,-1260,85
2801000,-20,59,8,-9,996,20,3,33,-579,-119,240,-119,-80,94,150,104,-1224,94
2850000,-31,54,3,-5,990,20,3,94,-279,85,240,-80,-39,115,123,-16,-1140,115
2901000,-42,39,6,-1,991,-101,3,-27,-215,-1,119,-80,-39,147,70,-231,-1011,147
2950000,-56,26,8,7,1066,142,-485,827,-138,-79,0,-80,-39,169,106,-28,-924,169
3001000,-61,17,124,54,51,-8280,-363,6503,-105,-133,119,-80,-39,168,91,-167,-928,168
