c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
26,447,375,-28,106,997,-2686,-3816,-26271,-54,35,-4,-4,0,0,0,1044,4377,-1600,0,1150,1150,1425,1429,-60,-2451,-63,-2559,0,-2399,193,131
76,1540,517,4,83,853,-5982,-13521,-28347,-154,52,-4,-4,0,0,0,1034,4131,-1600,0,1150,1150,1405,1478,-282,-2565,-292,-2652,0,-2444,193,133
126,2197,-315,60,130,1004,-10682,-19136,-30117,-211,-13,-4,-4,0,0,0,1043,3123,-1600,0,1150,1150,1380,1467,-296,-2708,-309,-2825,0,-2438,204,140
176,2735,-1740,76,120,840,-24842,-12666,-26516,-260,-133,-2,-4,1,0,0,1043,2285,-1600,0,1150,1150,1411,1448,-86,-2711,-90,-2827,0,-2280,193,139
226,2946,-2512,81,188,943,-30762,-5220,-27126,-280,-212,-4,-4,0,0,0,1048,1653,-1600,0,1150,1150,1398,1438,13,-2683,13,-2812,0,-2207,204,136
276,2668,-2830,18,138,945,-30640,-3755,-24685,-264,-241,-4,-5,1,0,0,1046,1204,-1600,0,1150,1150,1353,1408,-74,-2672,-77,-2795,-59,-2298,204,140
326,2225,-2925,53,35,955,-25574,-2839,-19191,-233,-243,-4,-5,2,0,0,1041,848,-1600,0,1150,1150,1299,1388,-39,-2474,-40,-2575,0,-2199,255,136
376,1742,-3181,44,100,925,-15321,-10652,-14858,-182,-270,-2,-6,0,0,0,1033,604,-1600,0,1150,1150,1189,1354,-154,-2160,-159,-2232,0,-2120,255,140
426,1562,-4093,111,34,1144,-6593,-14436,-10158,-170,-344,-4,-6,0,0,0,1032,381,-1600,0,1150,1150,1150,1298,-176,-2047,-182,-2112,-9,-2145,255,141
476,2056,-5684,142,33,833,914,-7295,-2529,-206,-482,-2,-5,0,0,0,1028,254,-1600,0,1150,1150,1150,1190,26,-1997,27,-2052,-38,-2183,204,133
526,2459,-6226,168,57,976,2257,7902,-1735,-243,-540,-4,-6,0,0,0,1032,183,-1600,0,1150,1150,1150,1150,340,-1966,351,-2029,-8,-2119,204,134
576,2487,-5121,18,-3,997,-245,17179,-3566,-253,-461,-2,-6,0,0,0,1040,151,-1600,0,1150,1150,1150,1150,99,-2257,103,-2347,-91,-2380,204,134
626,2279,-4051,38,23,980,670,1981,2780,-235,-354,-2,-6,0,0,0,1049,82,-1600,0,1159,1150,1150,1150,-15,-2177,-16,-2284,-48,-2302,255,131
676,1981,-3951,69,50,973,1707,2348,5161,-205,-338,-2,-6,1,0,0,1056,65,-1600,0,1204,1150,1150,1150,105,-2005,110,-2117,0,-2155,214,130
726,1707,-3321,24,-12,1031,5369,4728,5588,-178,-291,-4,-5,0,0,0,1045,9,-1600,0,1237,1150,1150,1150,96,-1966,101,-2055,0,-2175,255,130
776,1875,-2962,48,-1,970,10863,700,10776,-197,-255,-4,-6,0,0,0,1035,-32,-1600,0,1340,1208,1150,1150,39,-1986,41,-2055,0,-2267,255,130
826,2304,-2751,49,-26,1036,12022,2653,15781,-237,-237,-4,-6,0,0,0,1028,-59,-1600,0,1342,1260,1150,1150,85,-2078,87,-2137,0,-2312,255,133
876,2766,-2350,10,34,985,7628,3019,16452,-277,-199,2,-7,2,0,0,1033,-29,-1600,0,1343,1262,1150,1150,59,-2257,61,-2331,0,-2347,255,129
926,2931,-1832,30,2,1208,2257,2409,14255,-291,-158,-2,-6,0,0,0,1030,8,-1600,0,1319,1296,1150,1150,25,-2382,26,-2453,0,-2389,255,128
976,2530,-1578,15,47,969,-3663,-2107,15659,-242,-144,-4,-4,-1,0,0,1019,6,-1600,0,1320,1314,1150,1150,29,-2364,30,-2409,8,-2261,255,131
1026,1862,-1532,8,-41,1062,-9278,1066,15903,-198,-132,-2,-4,0,0,0,1027,-6,-1600,0,1278,1306,1150,1150,66,-2103,68,-2159,0,-1965,255,132
1076,1128,-1136,-35,-48,958,-8790,8878,11142,-133,-101,-2,-4,1,0,0,1019,-2,-1600,0,1223,1256,1150,1150,82,-2320,83,-2365,8,-2204,214,133
1126,537,-485,18,14,982,-7020,2897,6503,-73,-42,-2,-4,0,0,0,1020,13,-1600,0,1166,1152,1150,1150,5,-2090,5,-2132,-33,-2050,255,126
1176,-74,-209,-13,-69,1022,-1160,-93,5588,-25,-16,-2,-4,0,0,0,1008,-34,-1600,0,1150,1150,1150,1150,-50,-2044,-51,-2060,0,-2137,255,131
1226,-118,-381,6,18,1000,5308,-2962,2658,-9,-28,-4,-4,0,0,0,1026,-1,-1600,0,1150,1150,1150,1150,-63,-1958,-65,-2009,16,-2119,255,129
1276,-37,-647,64,1,990,9154,-4182,-209,-16,-45,-2,-4,0,0,0,1011,-15,-1600,0,1150,1150,1150,1150,-181,-1935,-183,-1959,-134,-2088,255,133
1326,141,-670,-40,-20,1026,5980,-1558,-515,-39,-59,-4,-5,0,0,0,999,-26,-1600,0,1150,1150,1150,1150,-32,-2038,-32,-2036,0,-2153,255,131
1376,332,-667,-42,0,1012,3721,-2901,3635,-48,-62,-2,-4,0,0,0,1021,-15,-1600,0,1150,1150,1150,1150,-31,-2237,-31,-2286,0,-2282,255,130
1426,237,-745,15,37,968,-1,-1436,2048,-41,-60,-2,-4,0,0,0,1008,-25,-1600,0,1150,1150,1150,1150,-18,-2287,-18,-2305,0,-2256,255,127
1476,30,-517,18,-68,1064,-6776,-1741,949,-26,-40,-2,-2,0,0,0,1027,1,-1600,0,1150,1150,1150,1150,-197,-2333,-202,-2396,-127,-2201,255,133
1526,-469,-531,-49,8,1002,-9156,-6624,1132,21,-46,-4,-3,0,0,0,1019,42,-1600,0,1150,1150,1150,1158,-151,-2395,-154,-2440,-19,-2268,255,134
1576,-1178,-1049,21,-14,979,-9339,-8150,-2712,81,-84,-4,-3,0,2,0,1031,27,-1600,0,1150,1150,1150,1150,-89,-2278,-92,-2349,0,-2151,255,133
1626,-1792,-1623,76,-78,1029,-7813,-4243,-7412,127,-135,-2,-4,0,79,207,1014,-5,-1284,207,1150,1150,1150,1175,-221,-2015,-224,-2043,-206,-1920,255,146
1676,-2319,-1862,-25,-20,1011,-7264,1066,-7412,187,-168,-4,-2,0,167,925,1010,-36,-972,817,1150,1150,1270,1286,-6,-2050,-6,-2070,-68,-2015,204,142
1726,-2826,-1815,48,-80,959,-2930,2042,-11379,220,-157,0,-4,0,203,1366,1015,-45,-788,1366,1150,1150,1291,1308,58,-1913,58,-1942,0,-1928,255,140
1776,-2997,-1542,34,-74,1080,1524,2958,-10463,239,-135,0,-4,0,252,2106,1016,-9,-592,2106,1150,1150,1344,1356,91,-1796,93,-1825,8,-1902,255,139
1826,-2921,-1389,50,-29,947,5675,2897,-8693,241,-116,0,-3,0,271,2435,1006,9,-516,2435,1150,1150,1321,1321,-2,-1689,-2,-1700,-87,-1846,204,138
1876,-2547,-1247,23,-40,1021,9886,6254,-7229,209,-107,0,-3,0,290,2789,1023,15,-443,2770,1162,1150,1311,1303,-23,-1931,-23,-1975,-106,-2126,255,143
1926,-2002,-762,-58,-57,1096,7933,5338,-3933,162,-72,0,-2,0,292,2828,1006,16,-432,2828,1150,1150,1306,1328,108,-1858,109,-1869,63,-2016,255,140
1976,-1417,-851,-46,9,1002,5125,-1863,-4909,118,-76,0,-2,0,328,3568,1015,40,-292,3546,1200,1236,1310,1341,-410,-2185,-416,-2218,-366,-2225,255,143
2026,-1211,-775,-49,51,948,120,-2046,-6801,99,-70,0,-2,0,354,4156,1016,31,-183,4156,1166,1227,1329,1354,-80,-2170,-81,-2204,-48,-2153,204,138
2076,-1311,-827,26,-19,1040,-1832,-2962,-6252,100,-66,8,-2,0,436,6305,1008,-3,0,5712,1260,1327,1409,1440,-26,-2030,-27,-2046,39,-2023,255,138
2126,-1295,-925,70,-43,1016,-3541,-3999,-5947,95,-73,0,-2,0,476,7515,1014,0,0,7515,1332,1368,1450,1482,-40,-2253,-40,-2284,17,-2217,204,136
2176,-1280,-1037,5,-39,1059,426,-1192,-6069,103,-87,2,-1,0,500,8292,1019,42,0,8292,1381,1396,1496,1513,-46,-1787,-47,-1821,0,-1815,204,135
2226,-1173,-973,12,-56,1170,3782,-1985,-4238,90,-81,-2,-2,0,500,8292,1008,-5,0,8292,1404,1375,1490,1516,17,-1808,17,-1822,36,-1940,255,135
2276,-697,-1103,-36,18,1023,6529,-276,-5520,59,-94,0,-1,1,501,8358,1008,39,0,8292,1419,1379,1488,1504,-108,-1990,-109,-2005,-88,-2118,204,138
2326,-204,-971,44,-9,947,7261,-1741,-5581,13,-77,0,-1,0,500,8292,1008,14,0,8292,1403,1393,1491,1507,36,-2069,36,-2086,18,-2149,255,131
2376,145,-1130,53,19,1015,2379,1066,-4848,-16,-92,2,-1,0,499,8258,1006,3,0,8225,1398,1403,1479,1503,62,-2050,63,-2062,0,-2033,255,130
2426,179,-1259,12,-27,1000,-2198,5765,-1735,-23,-113,-2,0,0,500,8292,1014,-34,0,8292,1418,1441,1464,1471,42,-2254,42,-2286,-67,-2178,255,137
2476,193,-1090,50,20,1010,-5006,6010,644,-24,-94,2,-1,0,499,8258,1016,-30,0,8258,1441,1455,1445,1455,96,-1999,98,-2031,0,-1887,255,131
2526,-76,-796,-45,-6,1143,-6776,4057,3024,-3,-73,0,-1,0,499,8258,1008,-6,0,8258,1439,1473,1423,1459,-51,-2288,-51,-2307,-68,-2170,214,134
2576,-646,-821,5,-61,1016,-5921,-215,4855,38,-72,0,-2,0,500,8292,1007,-8,0,8225,1448,1487,1394,1458,-9,-2046,-9,-2060,84,-1986,255,131
