c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
26,222,26,-144,-91,1070,-881,1448,4931,-35,-8,0,-1,0,0,0,55,259,-1600,0,1150,1150,1150,1196,0,0,0,0,0,0,0,106
76,-11,-117,136,57,988,643,-1664,-3858,-6,7,2,-2,0,0,0,101,253,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,105
126,342,1,-194,-19,1057,-637,776,5236,-43,-15,2,-2,0,0,0,61,167,-1600,0,1150,1150,1150,1184,0,0,0,0,0,0,0,106
176,80,-136,180,5,873,216,-504,-2759,-9,8,0,0,0,0,0,32,63,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,100
226,218,-336,-96,31,974,-698,-321,4137,-26,-39,2,-2,0,0,0,68,97,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,-109,-185,161,-77,955,399,2913,475,-5,0,0,-1,0,0,0,51,33,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,103
426,107,-426,-44,108,970,-1492,-77,-623,-5,-42,0,-1,0,0,0,80,40,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,106
476,-20,-154,47,-85,989,-88,2180,1879,-10,-9,2,0,0,0,0,91,99,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,103
526,54,-452,9,49,1028,-1370,-443,-2393,-7,-35,0,-1,0,0,0,81,7,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,104
576,289,-103,-58,25,1069,216,1082,3099,-23,-22,0,0,-1,0,0,38,-21,-1600,0,1150,1150,1150,1153,0,0,0,0,0,0,0,107
626,111,-351,54,-17,979,-1248,-260,-3247,-29,-25,0,-3,0,0,0,56,23,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,108
676,394,-137,-39,52,995,277,349,2855,-40,-9,0,-2,1,0,0,42,-39,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,104
726,100,-233,27,-6,995,-820,-16,-3003,-20,-11,0,-2,1,0,0,53,-26,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,106
776,249,-241,-6,63,1039,582,-809,231,-26,-18,0,-2,0,0,0,70,-6,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,104
826,49,-99,-1,14,1019,-1187,288,-1538,-6,-9,0,0,0,0,0,44,-15,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,103
876,323,-205,9,37,986,-88,-1481,-1355,-31,-13,0,-1,0,0,0,50,-54,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,106
926,1,-7,-23,-41,1002,-820,410,963,-8,0,0,0,0,0,0,53,-21,-1600,0,1150,1150,1150,1171,0,0,0,0,0,0,0,99
976,362,-309,16,111,996,-332,-626,-3796,-24,-22,2,0,0,0,0,55,14,-1600,0,1150,1157,1150,1150,0,0,0,0,0,0,0,106
1026,136,-12,-36,-118,1052,-1126,2302,3099,-27,-2,0,0,0,0,0,40,-31,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,109
1076,309,-426,158,93,1053,277,-260,-4895,-18,-19,2,0,0,0,0,41,-32,-1600,0,1150,1182,1150,1150,0,0,0,0,0,0,0,108
1126,188,-36,-130,-98,1114,-576,4133,4442,-26,-13,0,0,0,0,0,50,2,-1600,0,1150,1150,1150,1173,0,0,0,0,0,0,0,107
1176,181,-279,122,24,1089,33,-260,-5200,-20,-13,0,-1,0,0,0,81,57,-1600,0,1150,1159,1150,1150,0,0,0,0,0,0,0,107
1226,92,-90,-101,0,1103,-210,1204,4015,-22,-14,-2,-2,0,0,0,52,17,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,107
1276,170,-153,101,-30,992,-332,1936,-3430,-22,-9,2,-2,0,0,0,42,-17,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,109
1326,25,-247,-99,43,1011,-637,1448,3588,-5,-29,0,-1,0,0,0,67,0,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,105
1376,188,9,-37,35,1027,-27,2058,-867,-16,-3,0,0,0,0,0,39,0,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,101
1426,32,-81,8,17,1072,582,1875,658,-11,-3,0,-2,0,0,0,71,14,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,101
1476,174,-9,-64,5,1126,-88,2608,841,-25,0,2,-2,1,0,0,35,-44,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,102
1526,82,-49,68,27,1115,827,3035,-1660,-14,4,4,-2,0,0,0,35,-29,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,104
1576,266,-80,-47,7,1082,-698,1265,2428,-33,-12,2,-2,0,0,0,66,56,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,106
1626,127,-106,101,-40,1051,399,654,-3247,-25,3,4,-2,0,0,0,62,23,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,106
1676,305,-57,-79,67,1014,-332,-1542,4625,-24,-8,4,0,0,0,0,51,-16,-1600,0,1150,1150,1150,1151,0,0,0,0,0,0,0,107
1726,3,63,103,-55,930,-271,-1420,-4712,-16,17,4,-2,0,0,0,61,-2,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,105
1776,203,-86,-13,51,933,949,-2274,2672,-19,-8,4,-1,0,97,312,48,-16,-1308,176,1150,1150,1150,1150,0,0,0,0,0,0,0,111
1826,74,151,27,-39,953,-210,-1481,-3369,-14,17,2,0,0,95,299,41,-9,-1220,299,1150,1150,1150,1150,0,0,0,0,0,0,0,110
1876,236,12,59,57,910,2474,-1603,3161,-17,8,2,0,0,97,312,53,8,-1212,312,1150,1150,1150,1150,0,0,0,0,0,0,0,106
1926,399,116,7,-51,914,-27,-565,-3491,-51,11,4,-2,0,127,534,55,7,-1092,534,1150,1150,1150,1150,0,0,0,0,0,0,0,109
1976,352,-42,97,64,955,1132,654,597,-34,6,2,-2,0,160,849,68,18,-960,849,1150,1150,1163,1150,0,0,0,0,0,0,0,106
2026,266,212,-50,-103,953,-1736,2424,-501,-45,15,2,-2,0,175,1015,64,-21,-900,1015,1150,1150,1150,1150,0,0,0,0,0,0,0,116
2076,285,126,35,85,1001,1254,166,3527,-23,18,2,-1,0,195,1261,55,-8,-820,1261,1150,1150,1225,1197,0,0,0,0,0,0,0,111
