c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36
26,201,-54,-47,-70,1012,-1182,1630,3203,-32,-6,-4,-1,0,92,280,59,238,-1232,280,1150,1150,1158,1155,0,0,0,0,0,0,0,4,-2,0,0,122
76,-32,51,43,63,1016,-144,-261,-3388,5,12,-4,0,0,120,477,48,209,-1200,331,1163,1150,1150,1150,0,0,0,0,0,0,0,-4,13,-2,4,119
126,99,-39,-23,61,1053,526,287,3447,-9,1,-6,-1,1,121,485,65,198,-1116,485,1150,1150,1150,1150,0,0,0,0,0,0,0,0,9,-2,4,117
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,96,124,12,-53,1058,1442,1264,1555,-20,22,-6,-1,2,157,817,46,72,-1056,613,1150,1150,1150,1162,0,0,0,0,0,0,0,0,-7,6,38,121
326,-128,-153,54,-29,977,-999,-139,-1495,4,-4,-6,0,0,168,936,56,6,-928,936,1178,1150,1150,1150,0,0,0,0,0,0,0,0,3,13,45,119
376,321,179,-81,-24,1063,1381,897,3692,-33,7,-2,0,0,167,925,40,-16,-932,925,1150,1150,1185,1214,0,0,0,0,0,0,0,8,-9,29,46,121
426,-226,-74,103,-130,951,-2891,-1299,-4242,-1,12,-4,-1,1,167,925,48,59,-932,925,1235,1150,1150,1150,0,0,0,0,0,0,0,8,-13,43,48,127
476,197,-21,-17,45,1064,3029,104,3936,-18,0,-2,-1,0,166,913,49,14,-936,913,1150,1150,1162,1228,0,0,0,0,0,0,0,-4,-31,51,35,122
526,-262,-398,137,-137,892,-1792,-3923,-3388,0,-7,-4,-1,2,168,936,75,27,-928,936,1235,1183,1150,1150,0,0,0,0,0,0,0,-12,-14,53,30,129
576,169,67,5,-6,1047,1076,836,5584,-18,13,-2,0,1,191,1210,35,-38,-828,1235,1150,1150,1183,1269,0,0,0,0,0,0,0,-14,0,46,29,121
626,68,-101,-82,28,986,-816,714,1433,-6,-10,-6,0,1,192,1222,72,54,-832,1222,1150,1150,1198,1220,0,0,0,0,0,0,0,14,10,47,34,122
676,-34,-283,136,55,1024,160,-1177,-6806,1,0,-2,-1,2,193,1235,49,-30,-832,1222,1277,1237,1150,1150,0,0,0,0,0,0,0,7,6,43,36,123
726,-19,-83,-9,-123,1044,-1548,104,3203,-14,-1,-2,0,1,192,1222,59,53,-832,1222,1150,1150,1150,1179,0,0,0,0,0,0,0,-15,-4,37,38,126
776,228,-106,-169,41,1023,1747,653,4607,-22,-19,-4,-1,1,192,1222,71,53,-836,1210,1150,1150,1247,1252,687,557,48,39,659,557,0,1,-8,27,30,136
826,-120,-63,49,20,1010,-266,-3191,-4547,5,4,-2,-1,0,227,1709,61,33,-692,1709,1185,1199,1150,1150,687,557,41,34,659,557,0,7,18,15,23,133
876,44,16,0,-186,986,-2158,775,-3754,-27,8,-2,0,1,228,1724,46,-22,-688,1724,1284,1214,1150,1150,687,557,31,25,659,557,0,11,26,5,14,131
