c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36
26,21,44,-78,-1,1118,-1848,2316,-3179,0,-4,-2,0,0,71,167,88,327,-1316,167,1158,1150,1150,1150,0,0,0,0,0,0,0,0,3,0,0,116
76,-171,59,-15,-58,987,2545,-674,2435,13,7,-2,0,0,91,274,64,312,-1232,280,1150,1150,1150,1183,0,0,0,0,0,0,0,-2,15,-6,15,120
126,148,-128,45,44,933,1080,-1223,-2996,-7,-2,-4,0,0,128,543,45,158,-1088,543,1182,1150,1150,1150,0,0,0,0,0,0,0,-7,-2,-7,1,123
176,-200,19,-37,-130,950,3156,-735,2801,5,4,-4,0,1,156,807,50,68,-1052,622,1150,1150,1150,1208,0,0,0,0,0,0,0,-9,13,-25,-1,122
226,148,-228,95,71,849,1141,-3176,-1593,-4,-4,-4,0,0,157,817,57,90,-972,817,1178,1150,1150,1150,0,0,0,0,0,0,0,-14,0,-32,-23,124
276,-156,-15,-84,-173,984,958,424,3472,-3,-10,-4,0,0,159,838,57,100,-972,817,1150,1150,1152,1240,0,0,0,0,0,0,0,-13,11,-49,-35,126
326,292,-274,104,64,861,-628,-3237,-1470,-15,-10,-4,0,0,194,1248,38,-7,-824,1248,1179,1186,1150,1150,0,0,0,0,0,0,0,-9,-7,-49,-63,129
376,-209,53,-70,-141,913,104,363,2923,3,0,-2,0,0,193,1235,33,-61,-828,1235,1150,1150,1150,1253,0,0,0,0,0,0,0,-8,7,-57,-76,122
426,144,-263,75,-152,892,-3191,-3359,1641,-31,-9,-4,0,0,193,1235,62,19,-828,1235,1150,1169,1166,1150,0,0,0,0,0,0,0,-11,0,-62,-85,129
476,143,-46,-17,190,933,4682,546,-2935,9,-2,-2,0,0,223,1649,46,-8,-716,1619,1185,1214,1150,1150,0,0,0,0,0,0,0,-7,6,-53,-75,123
526,-71,-296,-48,-194,921,2606,-1651,665,-13,-27,-2,0,0,230,1754,42,25,-680,1754,1164,1150,1227,1238,0,0,0,0,0,0,0,1,-8,-48,-59,128
576,205,-187,166,-91,1049,-2092,-2261,-2935,-31,0,-2,0,0,233,1800,55,53,-672,1785,1211,1150,1224,1150,0,0,0,0,0,0,0,15,1,-45,-46,129
626,290,142,13,70,1149,-1055,2072,-7208,-20,19,-4,0,1,233,1800,74,46,-668,1800,1207,1265,1150,1150,0,0,0,0,0,0,0,4,18,-49,-43,126
676,243,-99,-77,248,1001,1813,-1956,-9710,3,-12,0,0,0,233,1800,44,-44,-664,1816,1347,1303,1150,1150,0,0,0,0,0,0,0,-9,-19,-48,-36,129
726,-230,-320,57,96,794,-4412,-3,-14166,30,-21,0,0,0,235,1831,90,30,-660,1831,1359,1357,1150,1150,0,0,0,0,0,0,0,10,36,-45,-23,126
776,-94,-99,-7,42,1057,-78,1583,-12457,12,-6,0,0,0,259,2224,58,-1,-612,2023,1421,1384,1150,1150,0,0,0,0,0,0,0,-9,3,-51,-13,123
826,-170,-303,46,35,1008,-1421,-979,-15081,25,-25,0,1,0,285,2694,59,-32,-460,2694,1363,1409,1150,1150,0,0,0,0,0,0,0,2,29,-47,-4,128
876,-306,-204,-17,-149,949,-1909,3536,-20819,10,-18,2,0,0,295,2886,46,48,-424,2866,1460,1376,1150,1150,0,0,0,0,0,0,0,-27,19,-66,4,130
926,-536,-389,147,25,1137,-10393,5612,-25030,49,-20,0,0,0,302,3025,31,33,-392,3025,1333,1367,1194,1150,0,0,0,0,0,0,0,-38,20,-78,15,131
976,-518,-418,150,108,1408,14752,-186,-20819,60,-22,2,0,0,302,3025,76,41,-392,3025,1306,1311,1150,1222,0,0,0,0,0,0,0,-44,64,-100,44,132
1026,-5,-282,133,39,924,-8562,-1040,-24237,1,-3,2,0,1,301,3005,34,-1,-396,3005,1381,1150,1291,1208,0,0,0,0,0,0,0,-38,59,-110,64,128
1076,348,-349,144,-68,1269,7428,-1101,-21490,-33,-15,0,0,0,311,3208,42,39,-384,3065,1165,1304,1222,1302,0,0,0,0,0,0,0,-8,39,-116,79,132
