1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50000,306,-18,3,6,1016,794,-1526,-1417,-26,1,-4,0,40,59,115,104,415,-1364,115,1150000,1150000,1150000,1150000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103000,-226,-37,4,-77,971,-242,-61,1512,19,0,-4,0,40,57,107,54,340,-1372,107,1150000,1150000,1150000,1150000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150000,12,-31,-23,133,956,-181,-794,-1661,-1,7,0,0,119,58,111,57,172,-1368,111,1150000,1150000,1150000,1150000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203000,41,-53,17,-104,1009,550,-1404,1207,-3,-4,-2,0,0,58,111,66,164,-1368,111,1150000,1150000,1150000,1150000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250000,-271,56,-31,-52,1078,-609,1952,1573,20,11,-2,-39,80,57,107,93,181,-1372,107,1150000,1150000,1150000,1150000,0,0,0,303000,145,63,8,134,1022,306,182,-2393,-12,12,-2,0,80,58,111,91,55,-1368,111,1150000,1150000,1150000,1150350000,69,24,-24,-108,991,-303,182,1695,-6,-1,-2,0,-39,59,115,49,-18,-1364,115,1150000,1150000,1150000,1150000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403000,-238,146,12,61,993,184,0,-1051,20,19,-2,0,80,57,107,47,-7,-1372,107,1150000,1150000,1150000,1150000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450000,106,-26,36,73,1056,306,-1282,-2088,-9,4,-2,0,80,67,148,60,73,-1332,148,1150,312,87,85,-1212,312,1150000,1150000,1150000,1150000,0,0,603000,83,-52,-26,-28,1028,-426,914,902,-7,-1,-2,0,40,174,1004,43,-56,-904,1004,1150000,1150000,1150000,1150650000,-306,25,0,-130,994,245,-610,2061,26,5,0,0,40,205,1393,71,29,-780,1393,1182000,1203000,1150000,1150000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703000,-11,-67,29,130,937,-181,-1648,108,-2,-5,-2,-39,0,227,1709,101,37,-692,1709,1183000,1170000,1152000,1200000,0,0,0,750000,-11,128,-117,-60,994,184,1342,2061,0,18,-2,0,80,255,2156,85,31,-580,2156,1239000,1231000,1196000,1150803000,-55,0,-1,97,1029,1,-183,-3370,8,6,-2,40,80,263,2294,53,-22,-548,2294,1150000,1153000,1258000,1268850000,-340,300,-43,-170,1076,-792,1220,1329,29,29,0,0,40,278,2563,59,-56,-488,2563,1211000,1255000,1220000,1161000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903000,-202,357,-149,-59,1194,611,2807,6578,21,27,-2,40,-39,304,3065,131,21,-384,3065,1339000,1326000,1193000,1150000,0,0,0,950000,-347,154,0,-10,986,2198,-916,13719,26,16,-2,-39,40,327,3546,117,18,-292,3546,1427000,1413000,1150000,11501003000,-278,104,-60,-75,977,2442,3905,19822,24,12,-2,0,40,338,3789,82,12,-248,3789,1483000,1462000,1150000,1151050000,-184,-32,-78,-27,943,2503,4821,19029,16,0,0,0,40,367,4467,55,-48,-131,4467,1499000,1484000,1150000,115001103000,-299,-109,-127,-106,960,-2562,3295,18052,26,0,0,0,119,374,4639,112,109,-103,4639,1468000,1509000,1150000,1150000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150000,-50,-572,135,19,1029,1038,304,17747,7,-43,-4,40,80,407,5494,145,71,0,5494,1503000,1495000,1150000,1150000,0,0,0,1203000,-83,-353,-85,-34,970,-5430,548,9202,7,-23,0,0,80,421,5878,72,44,0,5878,1424000,1478000,1273000,126,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250000,-65,-348,268,133,1017,10316,1464,2244,5,-19,0,0,119,449,6686,110,49,0,6686,1482000,1341000,1388000,1372000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303000,-376,-65,-4,11,1122,-4759,13732,-5872,36,1,0,40,80,460,7018,64,44,0,7018,1269000,1419000,1521000,1395000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350000,-450,-84,122,-22,928,-5858,-11780,-9290,35,0,0,-39,80,478,7578,74,-91,0,7578,1251000,1373000,1428000,1546000,0,0,0,0,0,1403000,-137,218,8,177,896,13795,-1099,-13197,12,26,0,0,80,498,8225,111,0,0,8225,1403000,1214000,1547000,1550000,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450000,-511,317,-184,-33,1302,4884,5736,-7947,44,31,0,0,40,509,8593,62,-3,0,8593,1416000,1360000,1558000,1480000,0,0,0,1503000,-312,-103,-154,64,1330,3663,2013,-2882,27,1,-4,0,119,527,9211,52,43,0,9211,1459000,1444000,1511000,149,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
