c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
50,332,-433,152,192,954,204,-1383,-2807,-28,-37,-2,0,0,0,0,47,302,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,108
103,385,29,-171,-128,999,-527,-834,4882,-33,2,0,0,0,0,29,70,266,-1480,29,1153,1150,1150,1150,0,0,0,0,0,0,0,107
150,5,-34,133,-90,983,143,874,-6042,0,0,-2,0,39,0,55,72,248,-1436,55,1150,1150,1184,1170,0,0,0,0,0,0,0,103
203,496,-446,-51,156,1043,265,874,3723,-39,-38,0,39,0,0,33,52,122,-1472,33,1150,1150,1150,1150,0,0,0,0,0,0,0,109
250,177,83,-56,-167,1015,-1565,1301,2075,-15,14,-37,0,79,0,16,61,106,-1512,16,1150,1150,1150,1150,0,0,0,0,0,0,0,112
303,162,-334,-50,97,1013,997,-1017,4760,-7,-39,-14,79,-120,0,17,43,54,-1508,17,1151,1150,1150,1150,0,0,0,0,0,0,0,113
350,125,135,-25,3,1068,-527,264,-6958,-10,8,-14,0,-40,0,16,64,88,-1512,16,1150,1150,1217,1192,0,0,0,0,0,0,0,108
403,83,-251,4,-46,1026,-772,1729,3845,-7,-21,-10,0,0,0,107,43,32,-1372,107,1150,1150,1150,1150,0,0,0,0,0,0,0,109
450,-155,16,-57,-70,1012,-894,1729,8300,10,4,-6,-39,39,0,119,35,-38,-1360,119,1191,1232,1150,1150,0,0,0,0,0,0,0,112
503,129,-111,-142,13,1085,1181,1484,4577,-11,-9,-4,0,0,0,127,54,-22,-1352,127,1163,1150,1150,1150,0,0,0,0,0,0,0,112
550,72,55,93,42,1025,387,-834,-12451,-6,4,-6,0,0,0,181,74,-28,-1304,181,1150,1150,1277,1285,0,0,0,0,0,0,0,106
603,-16,21,-7,-69,965,448,752,3234,4,5,-4,39,39,0,659,68,14,-1036,659,1150,1150,1150,1150,0,0,0,0,0,0,0,104
650,-115,-198,49,23,1010,509,630,6774,13,-13,-6,39,39,0,796,54,-27,-980,796,1228,1227,1150,1150,0,0,0,0,0,0,0,110
703,-83,107,-10,53,1026,82,-1261,-2929,7,12,-6,0,39,0,1074,67,30,-880,1074,1150,1150,1169,1214,0,0,0,0,0,0,0,109
750,6,225,7,-20,971,-1992,-1383,-10192,2,23,-4,39,39,0,1235,45,-24,-828,1235,1150,1150,1291,1312,0,0,0,0,0,0,0,111
803,-45,-98,95,-33,1131,1852,-2055,-1464,3,-5,0,0,39,0,1694,48,7,-696,1694,1177,1150,1173,1227,0,0,0,0,0,0,0,109
850,78,-93,-42,59,1099,814,4841,13977,-3,-1,0,39,79,0,1694,90,4,-696,1694,1365,1351,1150,1150,0,0,0,0,0,0,0,108
903,-19,450,-146,16,1080,3195,3865,14709,1,39,-2,0,0,0,2259,47,-36,-556,2259,1407,1360,1150,1150,0,0,0,0,0,0,0,111
950,45,377,-20,-49,1033,875,2461,1220,-7,39,0,-39,79,0,2906,89,28,-415,2906,1269,1255,1259,1193,0,0,0,0,0,0,0,110
1003,-77,10,85,14,973,-283,-468,-7141,10,4,-2,39,39,0,3503,69,23,-300,3503,1150,1171,1347,1369,0,0,0,0,0,0,0,109
1050,-241,38,-14,-54,948,-3457,-40,-9277,24,6,-2,39,39,0,4565,42,-3,-116,4565,1150,1219,1399,1401,0,0,0,0,0,0,0,112
1103,2,-85,24,36,1175,387,-162,-8300,-3,0,-2,-39,79,0,5122,78,-2,-27,5122,1225,1190,1398,1415,0,0,0,0,0,0,0,108
1150,-30,-118,97,71,895,-405,-101,1342,2,-6,-2,0,39,0,7048,42,-15,0,7048,1422,1418,1395,1408,0,0,0,0,0,0,0,107
1203,106,15,-58,-39,1235,-5593,11494,1647,-9,4,-6,0,39,0,8391,42,50,0,8391,1420,1484,1497,1363,0,0,0,0,0,0,0,109
1250,48,-170,102,-96,964,-8950,-9867,1831,-4,-7,-4,0,79,0,8425,52,-65,0,8425,1400,1522,1393,1488,0,0,0,0,0,0,0,111
1303,54,372,-66,-11,1135,7406,386,366,-4,32,-4,0,0,0,9211,40,-70,0,9211,1508,1442,1494,1461,0,0,0,0,0,0,0,106
1350,-35,290,127,30,787,-650,-4862,-5493,6,21,-2,39,-40,0,9281,67,-5,0,9281,1432,1431,1501,1543,0,0,0,0,0,0,0,110
1403,-320,392,53,101,935,1913,-834,-6164,27,37,-2,0,39,0,9316,118,45,0,9316,1432,1424,1536,1522,0,0,0,0,0,0,0,110
1450,-750,305,-200,-5,1136,1242,3010,427,68,30,-2,39,39,0,9996,55,-21,0,9996,1491,1510,1519,1475,0,0,0,0,0,0,0,111
1503,-424,232,-106,159,1406,143,813,2807,33,23,2,-39,39,0,10738,52,34,0,10738,1542,1537,1505,1491,0,0,0,0,0,0,0,112
1550,-530,-76,-13,-59,1328,-1504,-2421,183,42,-3,2,-39,39,0,11081,81,-41,0,11081,1518,1542,1516,1535,0,0,0,0,0,0,0,115
1603,-473,20,-51,141,986,-4922,1668,-1586,37,1,-2,-39,0,0,11081,70,-39,0,11081,1481,1549,1547,1532,0,0,0,0,0,0,0,113
1650,-569,352,-109,54,1032,1852,-2360,2990,49,30,0,0,0,0,11781,79,39,0,11781,1568,1566,1523,1526,0,0,0,0,0,0,0,111
1703,-41,-107,-60,-127,1294,6063,7954,3051,7,-2,-2,39,79,0,11900,83,33,0,11900,1596,1541,1557,1498,0,0,0,0,0,0,0,113
1750,84,-195,-58,-83,803,-3823,3926,-4089,-7,-10,-2,0,79,0,11940,48,20,0,11940,1496,1544,1598,1557,0,0,0,0,0,0,0,113
1803,-16,-352,19,55,1043,936,-7365,-2624,1,-27,0,0,39,0,11980,50,21,4,11980,1528,1533,1547,1585,0,0,0,0,0,0,0,110
1850,432,-712,-204,-228,1064,936,3926,-3784,-62,-58,-4,-279,39,0,13500,33,-33,152,13500,1568,1553,1620,1609,0,0,0,0,0,0,0,122
1903,983,-1183,96,-47,968,4293,-7365,-3051,-89,-99,-6,-39,39,0,13500,51,-17,152,13500,1581,1548,1586,1634,0,0,0,0,0,0,0,120
1950,870,-1802,8,180,1007,7650,-2543,-4028,-75,-150,-6,0,79,0,14978,42,43,287,14978,1597,1549,1611,1658,0,0,0,0,0,0,0,118
2003,1400,-1386,-180,93,1159,7711,14485,-6591,-122,-114,-4,0,79,0,15022,46,40,291,15022,1601,1548,1689,1646,0,0,0,0,0,0,0,122
2050,1578,-550,88,68,822,7223,15034,-7080,-137,-41,-4,0,79,0,15067,90,125,296,15067,1603,1537,1679,1667,0,0,0,0,0,0,0,118
2103,1904,327,-106,115,911,19613,18452,-6774,-169,28,-6,-39,0,0,15975,62,163,376,15975,1630,1505,1704,1645,0,0,0,0,0,0,0,121
2150,2679,7,355,2,829,22360,15462,-2929,-233,7,-2,0,79,0,16438,86,270,415,16438,1671,1575,1698,1662,0,0,0,0,0,0,0,114
2203,3639,1178,94,147,1076,3500,30293,-9277,-317,102,-4,0,0,0,16485,106,390,419,16485,1610,1555,1775,1661,0,0,0,0,0,0,0,120
2250,2752,2578,246,-36,1018,-161,14912,-6713,-299,228,-2,-680,39,0,16532,143,418,423,16532,1647,1548,1724,1693,0,0,0,0,0,0,0,125
2303,2544,2702,168,103,836,5331,-17313,-8789,-497,347,4,-3159,1280,0,16767,147,338,444,16767,1679,1480,1712,1728,0,0,0,0,0,0,0,127
2350,2044,1423,-333,-316,1237,-17800,-26347,-6713,-475,319,-6,-3400,2239,0,16579,180,473,428,16579,1597,1592,1724,1704,0,0,0,0,0,0,0,133
2403,1306,-683,-166,-311,1261,-27871,-23844,-7446,-442,209,-4,-3760,3079,0,16673,174,503,435,16673,1611,1568,1718,1726,0,0,0,0,0,0,0,133
2450,638,-2615,66,208,1121,-30557,-37394,-9521,-415,127,-4,-4120,4080,0,16673,236,611,435,16673,1596,1552,1701,1767,0,0,0,0,0,0,0,130
2503,-933,-3797,243,-117,1125,-49111,-20670,-5004,-243,-3,-4,-3719,3759,0,16626,274,757,432,16626,1560,1634,1699,1720,0,0,0,0,0,0,0,132
2550,-2668,-3550,25,-86,1250,-26651,-9501,-5493,16,-110,-2,-2480,2279,0,16720,342,887,439,16720,1611,1582,1708,1724,0,0,0,0,0,0,0,130
2603,-3029,-3285,169,2,998,-9439,-1383,-8239,173,-157,-2,-1040,1480,0,16626,377,830,432,16626,1585,1566,1734,1729,-882,1345,-332,507,-700,1761,0,145
2650,-2060,-2420,-27,61,1186,-1382,6367,-7324,96,-89,-4,-960,1399,0,16673,416,947,435,16673,1597,1562,1745,1716,-882,1345,-367,559,-700,1761,0,143
2703,-1576,-1309,72,-18,794,-9805,6550,-8911,85,-89,0,-600,279,0,16673,488,1004,435,16673,1559,1577,1740,1739,610,306,297,149,496,477,193,138
2750,-1551,-828,-111,25,982,-5899,-1078,-7385,90,-51,0,-520,239,0,16720,538,1084,439,16720,1582,1566,1730,1735,444,51,239,27,488,188,234,137
2803,-1306,-532,32,-116,1316,4660,-285,-9338,96,-28,0,-199,199,0,16626,569,1047,432,16626,1587,1528,1748,1742,450,-102,256,-58,455,-183,234,140
2850,-682,-229,-33,6,1158,4415,-529,-5981,45,-6,0,-160,160,0,16626,602,1073,432,16626,1596,1561,1738,1720,383,-170,230,-102,428,-235,255,137
2903,-388,-66,-197,119,1247,-1382,-3092,-6164,19,4,0,-160,119,0,16673,666,1098,435,16673,1581,1572,1728,1738,326,-252,217,-168,380,-228,255,140
2950,-311,-477,139,42,939,-2664,-4435,-4760,9,-31,-2,-199,119,0,14800,712,1104,271,14800,1540,1534,1682,1698,307,-284,219,-202,348,-287,234,140
3003,-555,-397,-131,-14,842,1119,-2909,-3417,38,-24,0,-120,119,0,13374,773,1093,139,13374,1522,1493,1651,1656,288,-192,223,-148,339,-212,244,141
3050,-505,-448,-87,-65,812,1181,-4679,-2563,40,-35,-2,-39,39,0,13374,834,1073,139,13374,1525,1500,1646,1654,193,-436,161,-363,295,-438,244,139
3103,-471,-730,30,112,1052,936,1973,-3540,142,-60,-2,1159,39,0,13374,902,1099,139,13374,1493,1515,1660,1654,212,-488,191,-440,178,-505,255,139
3150,-608,-776,41,122,952,7711,2766,-3051,227,-36,0,2000,360,0,13332,951,1009,136,13332,1518,1495,1650,1655,234,-457,223,-435,101,-539,255,139
3203,-465,-556,85,18,1276,18148,3499,-2197,382,80,0,3919,1480,0,13332,964,913,136,13332,1525,1499,1666,1630,128,-526,124,-507,67,-843,244,138
3250,-7,-246,-1,115,1055,30661,-2726,-976,786,166,-8,8999,2159,0,13332,1020,794,136,13332,1508,1526,1646,1642,163,-608,167,-620,136,-1026,255,142
3303,979,-709,-5,-89,1148,50802,-13407,732,692,-2,-6,8920,679,0,13416,1046,697,143,13416,1591,1470,1596,1673,163,-695,171,-727,397,-1581,244,141
3350,3256,-1358,133,55,976,50924,-2726,-488,228,-101,-4,5880,199,0,13416,1069,618,143,13416,1599,1440,1645,1638,159,260,170,278,270,-695,255,141
3403,5085,-1119,-68,68,1094,16256,6184,0,-133,-83,-4,3559,160,0,13416,1105,609,143,13416,1543,1514,1653,1623,125,-669,138,-739,17,-952,255,139
3450,4225,-283,-183,-36,1050,-6692,1484,1647,-253,-7,-4,1319,199,0,13416,1147,608,143,13416,1565,1512,1619,1636,145,-539,166,-618,0,-372,255,141
3503,2785,-909,-40,81,1101,-5349,2888,0,-222,-65,-4,239,160,0,13458,1176,590,148,13458,1563,1493,1644,1632,137,-324,161,-382,86,-231,255,137
3550,1967,-1507,222,48,702,-4495,-1322,3173,-161,-124,-2,120,79,0,13374,1211,588,139,13374,1577,1525,1607,1626,56,-211,68,-256,112,-144,255,140
3603,1008,-643,-213,-118,975,-7180,8809,915,-77,-49,-4,120,79,0,13416,1238,566,143,13416,1553,1519,1645,1618,17,-415,21,-514,-136,-290,255,139
3650,377,-136,-190,-38,1200,-1382,6795,854,-29,-4,-4,39,79,0,13458,1259,537,148,13458,1567,1504,1653,1610,1,-325,1,-410,0,-251,255,131
3703,-176,-494,269,-59,682,3134,-9989,1892,15,-36,-4,0,79,0,13416,1299,484,143,13416,1571,1526,1599,1657,-106,-286,-137,-372,68,-341,255,137
3750,-149,-778,-23,-63,998,4537,-3092,1098,13,-60,-4,0,79,0,13458,1282,406,148,13458,1580,1497,1613,1647,54,-296,70,-380,59,-273,255,133
3803,-94,-1180,74,48,841,2035,3438,793,4,-92,-4,-39,119,0,11781,1301,275,0,11781,1522,1464,1594,1593,34,-192,45,-250,-25,-227,255,130
