c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32
50,90,-32,65,67,1048,1802,-1848,-553,-7,-2,0,0,0,0,2259,82,377,-556,2259,1221,1181,1197,1241,0,0,0,0,0,0,0,107
103,49,0,-52,-30,979,215,287,5061,-4,6,2,0,79,0,2276,92,333,-552,2276,1284,1284,1150,1150,0,0,0,0,0,0,0,104
150,90,-28,17,98,1105,1314,1752,7258,-4,-2,0,39,0,0,2224,66,308,-564,2224,1321,1295,1150,1150,0,0,0,0,0,0,0,108
203,-132,101,-24,-16,916,-2592,287,6648,15,15,2,39,79,0,2242,83,231,-560,2242,1276,1326,1150,1150,0,0,0,0,0,0,0,112
250,289,-41,-39,9,1004,-700,-1360,6038,-25,0,2,0,39,0,2259,88,61,-556,2259,1297,1293,1150,1150,0,0,0,0,0,0,0,109
303,162,15,-73,21,926,-944,-2642,6526,-7,1,4,79,0,0,1605,95,83,-720,1605,1283,1300,1150,1150,0,0,0,0,0,0,0,107
350,207,-258,80,41,929,2717,-1482,12080,-18,-19,2,0,39,0,1619,77,93,-716,1619,1359,1312,1150,1150,0,0,0,0,0,0,0,112
403,173,-131,-23,-21,909,2107,-1177,11165,-15,-7,2,0,39,0,1590,105,125,-724,1590,1344,1307,1150,1150,0,0,0,0,0,0,0,115
450,28,-223,-27,60,999,2473,104,11531,-2,-15,-2,0,39,0,1605,75,93,-720,1605,1345,1310,1150,1150,0,0,0,0,0,0,0,110
503,-374,-230,87,-53,861,-1188,-3679,9456,32,-16,2,0,39,0,1649,81,81,-708,1649,1291,1324,1150,1150,0,0,0,0,0,0,0,113
550,6,-107,-64,-26,1035,581,836,12996,0,-9,2,0,0,0,1724,116,112,-688,1724,1359,1342,1150,1150,0,0,0,0,0,0,0,108
603,36,-196,-128,-39,954,-1005,2545,9883,-3,-13,4,0,39,0,2925,137,126,-412,2925,1345,1349,1150,1150,0,0,0,0,0,0,0,114
650,17,-674,97,92,894,2351,-1543,7503,-1,-58,2,0,0,0,3312,112,-12,-335,3312,1362,1324,1150,1173,0,0,0,0,0,0,0,110
703,-146,-697,32,-41,835,-822,-1482,9089,16,-60,0,39,0,0,4443,94,-81,-136,4443,1404,1412,1150,1238,0,0,0,0,0,0,0,113
750,-82,-715,53,-33,964,-150,-1177,9639,10,-62,4,39,0,0,4467,109,-7,-131,4467,1410,1420,1150,1216,0,0,0,0,0,0,0,112
803,23,-724,13,-9,1014,-2592,3400,14033,-2,-63,2,0,0,0,5096,102,-78,-32,5096,1451,1480,1150,1150,0,0,0,0,0,0,0,111
850,-85,-398,-55,20,1089,-1249,-1604,15986,10,-34,2,39,0,0,5148,85,-18,-24,5148,1477,1497,1150,1150,0,0,0,0,0,0,0,114
903,66,-198,-69,9,932,3755,-383,18550,-5,-17,2,0,0,0,5521,62,72,0,5521,1535,1499,1150,1150,0,0,0,0,0,0,0,105
950,73,-403,-27,37,1051,-1554,4498,5183,-6,-35,4,0,0,0,6075,78,-106,0,6075,1422,1434,1339,1304,0,0,0,0,0,0,0,109
1003,29,-422,10,29,918,4915,-6792,5733,-30,-33,0,-320,39,0,7110,65,-117,0,7110,1491,1404,1280,1395,0,0,0,0,0,0,0,113
1050,60,-406,14,41,1159,1008,5292,-6779,-99,-35,0,-1080,0,0,8292,63,31,0,8292,1421,1356,1515,1491,0,0,0,0,0,0,0,112
1103,-65,-97,100,108,1052,-4057,6818,-7633,-18,-8,4,-279,0,0,9458,122,39,0,9458,1374,1469,1564,1510,0,0,0,0,0,0,0,114
1150,156,-114,232,-76,914,-4362,-16314,-9464,-17,-9,2,-39,0,0,10700,129,64,0,10700,1392,1462,1496,1630,0,0,0,0,0,0,0,117
1203,-243,-380,-168,-4,1303,-5094,-1299,-3971,21,-33,0,0,0,0,10663,53,-20,0,10663,1473,1510,1535,1557,0,0,0,0,0,0,0,116
1250,-574,-825,110,-101,361,2229,5963,-2079,50,-68,2,0,39,0,11042,77,39,0,11042,1516,1514,1538,1539,0,0,0,0,0,0,0,114
1303,-717,-952,67,-35,748,-3385,6085,1948,59,-83,0,-39,0,0,12463,74,125,51,12463,1546,1573,1529,1526,0,0,0,0,0,0,0,115
1350,-955,-908,144,-2,384,337,-567,-1286,79,-75,-2,-39,39,0,13500,50,16,152,13500,1567,1571,1558,1610,0,0,0,0,0,0,0,116
1403,-741,-521,-182,131,1251,1924,-5327,-3605,64,-45,-2,0,0,0,13585,75,38,159,13585,1573,1561,1589,1635,0,0,0,0,0,0,0,118
1450,-768,-516,-187,-63,1158,2290,-444,-4215,67,-48,0,0,-39,0,15022,51,-43,291,15022,1600,1594,1639,1657,0,0,0,0,0,0,0,119
1503,-307,-362,132,217,873,9981,3522,-6290,26,-31,-2,0,0,0,16626,87,31,432,16626,1618,1562,1677,1664,0,0,0,0,0,0,0,115
1550,366,-558,-337,-200,1497,17976,-1299,-6596,-28,-48,-2,39,0,0,16673,90,130,435,16673,1648,1582,1686,1712,0,0,0,0,0,0,0,122
1603,1529,-624,114,77,1410,13704,14020,-5070,-130,-51,0,39,39,0,16673,104,205,435,16673,1641,1607,1712,1671,0,0,0,0,0,0,0,122
1650,2176,424,-158,109,1332,14375,35687,-5009,-186,37,0,39,0,0,16720,139,431,439,16720,1657,1589,1761,1620,0,0,0,0,0,0,0,121
1703,1920,2068,-285,31,880,14741,19208,-5619,-164,114,0,39,-759,0,16720,182,481,439,16720,1665,1567,1718,1680,0,0,0,0,0,0,0,124
1750,2779,2254,-46,94,1175,11812,5231,-5741,-242,133,-2,0,-720,0,16720,154,395,439,16720,1657,1573,1714,1692,0,0,0,0,0,0,0,123
1803,2446,2280,-348,-259,1556,1130,-17,-4459,-237,167,-2,-279,-360,0,16673,143,390,435,16673,1655,1584,1704,1686,0,0,0,0,0,0,0,127
1850,2367,1696,160,252,1113,-9672,-7280,-6718,-450,148,0,-2800,0,0,16626,185,407,432,16626,1647,1559,1714,1702,0,0,0,0,0,0,0,125
1903,1713,879,186,120,469,-25968,1019,-7450,-537,251,-2,-4440,2000,0,16626,258,525,432,16626,1625,1569,1762,1666,0,0,0,0,0,0,0,127
1950,520,665,-168,-202,1295,-19987,-13933,-7694,-509,372,0,-5320,3599,0,16673,286,597,435,16673,1633,1554,1725,1710,0,0,0,0,0,0,0,130
