c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,-55,295,-62,49,951,-42,889,83,8,29,-4,0,0,0,4689,57,205,-96,4689,1321,1329,1339,1313,0,0,0,0,0,0,0,0,0,21,5,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,25,29,41,18,877,-1079,-86,-4006,-2,6,-4,0,0,0,5521,69,219,0,5521,1293,1310,1387,1392,0,0,0,0,0,0,0,0,0,-15,7,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,49,223,-34,-32,1197,-2971,2049,-4128,-4,22,-4,0,0,0,6104,60,210,0,6104,1317,1351,1434,1404,0,0,0,0,0,0,0,0,0,23,-2,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,41,173,-8,-147,1371,-9746,6077,83,-3,18,-4,0,0,0,6392,54,232,0,6392,1307,1455,1412,1368,0,0,0,0,0,0,0,0,0,-2,-26,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,256,-102,17,-119,1267,-15239,-5457,571,-18,-8,-4,0,0,0,7048,45,128,0,7048,1285,1513,1384,1429,0,0,0,0,0,0,0,0,0,1,-11,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,572,-396,51,101,758,7709,-3931,266,-49,-34,-4,0,0,0,7079,43,88,0,7079,1441,1378,1378,1442,0,0,0,0,0,0,0,1,-1,-46,40,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,660,-197,58,53,734,4779,1134,-1809,-57,-17,-2,0,0,0,7018,85,59,0,7018,1437,1342,1432,1423,0,0,0,0,0,0,0,0,-1,-12,33,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,228,-358,-199,140,1443,5451,1622,-4006,-19,-31,-4,0,0,0,7018,51,48,0,7018,1390,1347,1449,1446,0,0,0,0,0,0,0,0,1,8,-13,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,340,-92,-85,165,762,4474,-635,-1564,-29,-8,-2,0,0,0,7110,38,85,0,7110,1433,1358,1425,1431,0,0,0,0,0,0,0,-1,-2,19,40,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,652,-216,-8,-100,1074,5573,401,-1381,-56,-18,-4,0,0,0,7079,55,23,0,7079,1428,1362,1432,1421,0,0,0,0,0,0,0,0,0,1,18,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,965,-173,40,124,972,-530,-147,-466,-87,-11,0,0,0,0,7079,59,-26,0,7079,1416,1397,1417,1417,0,0,0,0,0,0,0,0,-3,-4,52,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,411,92,-106,141,1446,13263,523,-1320,-42,8,-2,-1,0,0,7452,58,76,0,7452,1465,1318,1429,1422,0,0,0,0,0,0,0,-1,1,20,-9,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,548,344,-3,-35,1416,-5352,2354,1059,-68,30,0,-4,0,0,8258,62,151,0,8258,1416,1470,1451,1403,0,0,0,0,0,0,0,-2,0,22,18,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,625,164,-62,88,833,1483,3453,-2907,-68,10,-2,-2,0,0,8258,47,105,0,8258,1431,1412,1489,1460,0,0,0,0,0,0,0,0,-2,1,39,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,291,149,109,-334,1168,-3765,-1917,-2480,-42,16,-4,-3,0,0,8525,77,89,0,8525,1410,1453,1474,1488,0,0,0,0,0,0,0,0,4,2,-32,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,303,-18,67,-47,656,-2361,-3931,-588,-36,-1,-6,-2,0,0,9316,73,86,0,9316,1457,1456,1457,1497,0,0,0,0,0,0,0,1,2,-14,-13,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,98,-103,-11,44,606,873,1927,-832,-19,-12,0,-2,0,0,9352,44,0,0,9352,1481,1460,1500,1482,0,0,0,0,0,0,0,2,1,-21,-5,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,340,-210,-187,328,1043,873,7115,-2785,-47,-21,-2,-3,0,0,9352,47,-9,0,9352,1473,1432,1534,1480,0,0,0,0,0,0,0,0,-3,0,40,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,223,-702,79,8,948,-1873,2598,-2419,-33,-57,-2,-2,0,0,9743,36,-75,0,9743,1469,1464,1523,1510,0,0,0,0,0,0,0,3,0,-35,0,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,141,-568,-176,41,1032,4413,2232,-6203,-26,-39,-4,-2,2,0,10700,52,20,0,10700,1496,1425,1586,1555,0,0,0,0,0,0,0,-4,0,28,0,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,521,-845,-73,76,1386,1056,645,-4738,-59,-63,-4,-2,2,0,10776,35,-25,0,10776,1498,1447,1567,1560,0,0,0,0,0,0,0,1,-4,-16,40,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,590,-982,8,89,978,3681,7969,-3579,-65,-75,-4,-2,2,0,11157,76,23,0,11157,1511,1469,1589,1543,0,0,0,0,0,0,0,6,-3,-49,32,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,475,-529,-316,122,1259,6305,2598,-3640,-55,-11,-4,-2,6,0,12180,68,20,24,12180,1537,1480,1597,1575,0,0,0,0,0,0,0,-2,-1,16,23,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,591,-631,-200,98,1215,5267,4063,-3273,-62,-20,-4,-2,6,0,12301,88,42,36,12301,1541,1494,1611,1572,0,0,0,0,0,0,0,0,0,-9,11,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,637,-245,-137,-12,921,3375,24266,-5227,-73,23,-4,-3,9,0,12220,37,-19,27,12220,1523,1482,1651,1558,0,0,0,0,0,0,0,3,3,-14,-1,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,1017,1143,47,-27,1000,4657,4796,-4738,-109,145,-4,-4,9,0,12261,70,39,31,12261,1537,1473,1606,1605,0,0,0,0,0,0,0,-3,0,43,20,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,1343,1394,-382,126,899,4230,-880,-6630,-204,163,-4,-17,8,0,12341,83,75,40,12341,1552,1420,1618,1620,0,0,0,0,0,0,0,-5,-6,60,60,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1403,1422,1247,53,12,726,1544,9862,-7790,-284,203,-4,-32,18,0,12341,61,99,40,12341,1527,1432,1683,1571,0,0,0,0,0,0,0,0,-2,24,41,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,1713,1384,-378,-69,1152,-7549,-7105,-1809,-313,215,-4,-32,18,0,12341,79,113,40,12341,1551,1497,1601,1585,0,0,0,0,0,0,0,-7,-5,69,52,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,979,-49,289,127,1007,-11943,-16505,-5776,-249,89,-2,-32,18,0,12341,110,219,40,12341,1524,1460,1611,1626,0,0,0,0,0,0,0,15,-2,-69,25,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,925,-487,53,129,472,-12310,-8021,1914,-255,93,-4,-34,27,0,12341,131,174,40,12341,1565,1528,1596,1544,0,0,0,0,0,0,0,3,-10,-19,63,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,682,-956,69,106,1222,-12127,-11561,-3945,-153,80,0,-18,32,0,12341,127,188,40,12341,1525,1486,1589,1629,0,0,0,0,0,0,0,6,-8,-38,41,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,-66,-1275,206,46,840,-6450,-14857,-1259,-18,59,-2,-4,34,0,12382,142,205,44,12382,1549,1500,1595,1595,0,0,0,0,0,0,0,2,0,-31,-13,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703,476,-1211,-317,-97,1260,3375,-14552,1364,-205,124,0,-32,46,0,12301,132,168,36,12301,1605,1473,1575,1579,0,0,0,0,0,0,0,-16,-10,51,44,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,323,-2037,145,68,882,-17925,-8631,-5166,-52,-41,0,-4,27,0,12341,157,120,40,12341,1460,1526,1599,1640,0,0,0,0,0,0,0,5,-4,-63,5,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,-384,-1764,-191,-141,904,-4680,-10950,-344,16,-146,-2,-3,1,0,12341,165,207,40,12341,1549,1506,1561,1618,0,0,0,0,0,0,0,-12,0,13,-22,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,-267,-2076,74,52,631,-591,9801,-2724,5,-174,0,-3,1,0,12301,177,224,36,12301,1535,1482,1626,1582,0,0,0,0,0,0,0,1,-6,-52,8,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,-259,-1192,-153,-184,1106,-3093,7481,-2358,5,-93,0,-3,2,0,12341,234,321,40,12341,1533,1490,1608,1601,0,0,0,0,0,0,0,-7,-3,0,-9,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,-174,-854,84,6,708,-1262,6077,-2846,1,-64,0,-2,2,0,12341,225,306,40,12341,1536,1476,1612,1602,0,0,0,0,0,0,0,-2,-7,-19,6,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,105,-993,-18,52,1065,1422,-2650,-3212,-23,-104,0,-2,-3,0,12382,246,323,44,12382,1538,1470,1600,1624,0,0,0,0,0,0,0,0,-9,-29,17,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050,-29,-646,-153,-275,1272,-3338,7298,-3090,-4,-108,0,-1,-10,0,12301,271,388,36,12301,1522,1482,1620,1601,0,0,0,0,0,0,0,-10,-6,17,0,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2103,-66,-808,240,25,920,-3521,7542,-5349,-4,-150,-2,-2,-16,0,12341,320,350,40,12341,1511,1453,1620,1633,0,0,0,0,0,0,0,10,-7,-64,0,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2150,149,-555,-9,52,988,3803,4246,-2175,-20,-135,-2,-1,-17,0,12341,307,314,40,12341,1540,1472,1599,1617,0,0,0,0,0,0,0,1,-12,-19,22,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203,535,-471,182,223,846,-6145,16759,-3457,-53,-124,-2,-1,-16,0,12301,331,203,36,12301,1504,1486,1640,1592,0,0,0,0,0,0,0,12,-17,-52,43,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2250,254,-177,330,64,679,-6450,12364,-3823,-29,-134,0,-1,-23,0,12382,338,164,44,12382,1509,1480,1627,1615,0,0,0,0,0,0,0,16,-13,-59,19,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2303,52,318,-61,-57,1084,507,2293,-2419,19,-90,0,4,-23,0,12301,328,192,36,12301,1525,1478,1603,1619,0,0,0,0,0,0,0,0,-6,7,-7,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2350,78,421,-51,60,1214,1727,7786,-2480,101,-116,0,21,-30,0,12180,329,190,24,12180,1519,1474,1615,1604,0,0,0,0,0,0,0,2,-9,7,3,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2403,78,270,158,29,956,11493,10289,-832,356,-199,2,72,-44,0,12261,340,157,31,12261,1524,1500,1602,1599,0,0,0,0,0,0,0,15,-4,-37,-9,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450,718,516,198,157,873,27240,12242,-1198,223,-160,-4,57,-41,0,12180,350,209,24,12180,1575,1420,1617,1589,0,0,0,0,0,0,0,16,-7,-27,16,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503,1832,810,-15,-108,1111,14850,11387,-1076,-62,-68,0,19,-27,0,12180,348,175,24,12180,1535,1470,1604,1597,0,0,0,0,0,0,0,16,-3,-17,26,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550,2437,736,130,115,748,-5413,2171,-3334,-205,-33,-2,1,-19,0,12180,393,146,24,12180,1503,1470,1615,1621,0,0,0,0,0,0,0,23,-13,-39,65,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2603,1291,746,-222,-181,1052,-10357,2781,-2785,-105,68,-2,1,0,0,12220,400,175,27,12220,1505,1477,1633,1599,0,0,0,0,0,0,0,12,10,4,-30,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2650,688,846,-246,-139,1126,568,1500,-2724,-53,77,0,1,0,0,12140,379,113,20,12140,1531,1448,1633,1596,0,0,0,0,0,0,0,3,9,37,-28,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703,658,235,161,68,821,385,-4603,-3823,-50,24,-2,1,0,0,12100,368,16,15,12100,1511,1445,1621,1623,0,0,0,0,0,0,0,18,-1,-20,8,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2750,456,-95,-26,-22,1078,-7122,2598,-1381,-29,-8,-2,2,0,0,12100,373,6,15,12100,1507,1484,1616,1597,0,0,0,0,0,0,0,16,-1,-17,5,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2803,146,212,-30,-39,925,-6023,-1429,-2846,-9,18,-2,0,0,0,12504,371,29,56,12504,1498,1469,1614,1619,0,0,0,0,0,0,0,4,-2,26,2,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2850,129,-68,51,175,691,-3399,-4542,-1809,-11,-5,-2,0,0,0,12914,358,-49,96,12914,1525,1477,1619,1619,0,0,0,0,0,0,0,13,-14,-7,42,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2903,-181,-178,-134,-61,1180,-713,-2283,-771,-15,54,2,-6,13,0,13585,354,-114,159,13585,1570,1507,1646,1627,0,0,0,0,0,0,0,8,-5,2,5,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2950,-300,-571,-201,-185,1149,1727,35,-3579,-1,54,0,-5,20,0,13543,362,-86,155,13543,1542,1490,1666,1642,0,0,0,0,0,0,0,14,2,-20,-19,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3003,349,-573,118,68,1154,873,-25,-4372,-51,131,0,-4,36,0,13585,319,-78,159,13585,1537,1483,1673,1647,0,0,0,0,0,0,0,8,-8,0,19,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3050,379,-644,37,4,989,324,-4908,-3762,-50,128,-2,-3,37,0,13543,386,-28,155,13543,1547,1476,1666,1651,0,0,0,0,0,0,0,8,-9,-3,21,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3103,296,-817,-56,81,1004,1849,-4969,-5532,-43,78,-2,-3,30,0,13585,333,-122,159,13585,1534,1460,1672,1667,0,0,0,0,0,0,0,6,-5,0,11,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3150,354,-698,3,-56,1050,2033,-758,-4311,-41,57,-2,-2,23,0,13585,317,-126,159,13585,1538,1471,1680,1648,0,0,0,0,0,0,0,3,-1,3,1,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3203,268,-961,-70,18,935,751,-758,-6691,77,-73,0,20,2,0,13585,344,-16,159,13585,1503,1471,1688,1669,0,0,0,0,0,0,0,14,2,-33,-11,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3250,197,-638,-184,-32,943,5939,9373,-4799,220,-48,0,47,1,0,13543,310,-21,155,13543,1511,1488,1693,1644,0,0,0,0,0,0,0,-3,7,26,-26,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3303,609,-316,-89,-62,1106,15338,-1917,-4982,215,-20,-2,53,1,0,13458,316,-99,148,13458,1522,1461,1664,1675,0,0,0,0,0,0,0,3,7,4,-11,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3350,1261,-111,62,13,908,14606,-5762,-4433,151,-2,-2,52,1,0,13500,318,-9,152,13500,1532,1457,1661,1676,0,0,0,0,0,0,0,-1,4,17,11,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3403,1341,-359,-236,-53,1186,7648,-697,-5471,144,-20,0,52,2,0,13628,332,-68,163,13628,1515,1463,1693,1660,0,0,0,0,0,0,0,-2,11,16,-3,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3450,1271,-141,-281,28,1243,11432,4552,-5227,217,-12,0,65,0,0,13543,311,-27,155,13543,1519,1459,1692,1660,0,0,0,0,0,0,0,-5,13,25,-3,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3503,1343,-28,-142,-53,1167,10639,-2039,-4311,270,81,0,77,16,0,13585,334,106,159,13585,1509,1482,1678,1666,0,0,0,0,0,0,0,-3,19,17,-14,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3550,1491,-382,-123,-3,1366,16925,-574,-3701,278,88,-2,81,24,0,13585,323,61,159,13585,1536,1457,1677,1663,0,0,0,0,0,0,0,8,19,-20,-4,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3603,1915,-95,-194,-57,883,19794,-3992,-4128,307,372,-2,94,76,0,13628,315,32,163,13628,1525,1462,1703,1644,0,0,0,0,0,0,0,-9,25,32,-5,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3650,2475,-340,-111,150,872,18329,-17542,-3701,447,312,-2,132,68,0,13585,372,184,159,13585,1498,1493,1656,1688,0,0,0,0,0,0,0,-11,18,30,30,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3703,2602,-1076,-243,-163,1356,23944,-18824,-2663,464,206,-2,138,60,0,13585,358,183,159,13585,1527,1477,1666,1668,0,0,0,0,0,0,0,-14,39,21,-19,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3750,3322,-2023,49,55,885,27911,-18092,-3029,317,60,0,121,47,0,13585,396,239,159,13585,1541,1454,1655,1683,0,0,0,0,0,0,0,0,35,-37,17,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3803,3829,-2044,-120,4,976,19367,-8631,-588,98,-49,0,86,25,0,13585,393,197,159,13585,1565,1467,1646,1666,979,-790,384,-310,1188,-1247,0,-17,40,1,22,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3850,3651,-1782,8,-52,1074,6976,1378,-1870,-63,-54,-2,50,20,0,13628,416,250,163,13628,1538,1472,1667,1661,979,-790,407,-328,1188,-1247,0,-17,51,1,-3,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3903,3088,-1516,220,-94,1141,-3399,767,-39,-196,-34,-2,14,19,0,13628,420,237,163,13628,1548,1491,1647,1662,979,-790,411,-332,1188,-1247,0,-4,52,-32,-6,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3950,2664,-1031,1,21,964,-13958,-208,-1198,-204,-62,0,5,5,0,13628,416,281,163,13628,1522,1502,1656,1666,979,-790,407,-328,1188,-1247,0,-12,37,-6,31,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4003,1272,-660,168,-56,930,-7671,7847,-1687,-93,-36,-4,3,4,0,13585,428,247,159,13585,1548,1458,1671,1659,979,-790,419,-338,1188,-1247,0,-2,50,-30,-24,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4050,818,-37,-79,-25,824,-5901,5650,-1137,-113,21,-4,-8,4,0,13628,425,257,163,13628,1544,1474,1676,1650,979,-790,416,-335,1188,-1247,0,-16,41,17,-1,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4103,576,329,-44,100,808,-13469,3575,-2968,-189,42,-23,-27,2,0,14978,479,241,287,14978,1547,1499,1715,1701,979,-790,469,-378,1188,-1247,0,-20,28,32,25,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4150,-95,241,-11,-56,935,-15545,-9058,-2175,-194,38,-27,-40,3,0,14978,466,289,287,14978,1553,1499,1693,1718,979,-790,456,-368,1188,-1247,0,-15,31,15,2,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4203,-798,93,20,-114,1239,-10418,-8204,-1748,-164,25,-52,-46,3,0,14978,500,375,287,14978,1559,1474,1707,1716,487,574,243,287,630,756,122,-20,37,22,-28,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4250,-723,-139,-172,-11,915,-16460,-4053,144,-422,99,-56,-97,22,0,14623,464,315,255,14623,1560,1475,1713,1680,487,574,226,266,630,756,0,-25,13,33,32,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4303,-1424,-412,-5,-187,1244,-38067,-5701,937,-423,117,-33,-109,30,0,13585,498,344,159,13585,1486,1526,1662,1666,487,574,242,286,630,4350,-2297,-360,-26,-18,784,-34465,-7960,632,-424,174,-31,-124,41,0,13585,527,366,159,13585,1520,1488,1661,1670,572,721,301,380,583,1374,0,-22,5,19,0,150,,,,,,,,,,,,,,,,,,,,,,,,
4403,-2935,-723,-37,121,1001,-28850,-14857,1730,-298,139,-39,-111,40,0,13543,550,370,155,13543,1516,1501,1650,1674,572,721,314,397,583,1374,0,-20,-11,4,22,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4450,-3595,-984,50,-25,1149,-23601,-8631,4782,20,-23,-299,-58,12,0,13458,558,312,148,13458,1385,1422,1721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4503,-3723,-1202,-122,52,1140,-2666,2476,15585,223,-83,-322,-20,4,0,13458,571,323,148,13458,1505,1457,1689,1665,572,721,326,412,583,1374,0,-20,-4,-10,-32,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4550,-2816,-970,154,53,564,13507,5894,9665,245,-70,-129,0,2,0,13374,581,328,139,13374,1558,1477,1642,1647,73,526,42,305,-54,309,122,-10,-13,-35,1,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
