c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,571,-150,-39,-42,1022,936,-2229,729,-49,-13,-2,0,0,0,27,43,246,-1484,27,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,-18,62,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,-102,150,92,54,945,-101,944,-796,8,13,-20,0,0,0,27,70,263,-1484,27,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,7,-45,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,566,-157,10,186,915,1241,-2168,-2932,-45,-17,-4,0,0,0,27,56,166,-1484,27,1150,1150,1150,1162,0,0,0,0,0,0,0,0,-1,-30,75,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,-108,275,35,-186,986,-162,1554,3598,12,20,-2,0,0,0,33,104,152,-1472,33,1150,1151,1150,1150,0,0,0,0,0,0,0,0,1,30,-60,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,255,-145,33,183,925,325,-764,-3482,-18,-16,-2,0,0,0,93,57,66,-1388,93,1150,1150,1150,1160,0,0,0,0,0,0,0,1,0,-37,30,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,49,177,-61,-100,965,-955,1005,4208,-7,11,-4,0,0,0,201,53,62,-1288,201,1150,1156,1150,1150,0,0,0,0,0,0,0,0,0,26,-20,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,27,5,105,5,1048,-40,-398,-2383,-5,-3,-4,0,0,0,358,84,79,-1184,358,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,-17,-12,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,289,243,-92,-45,1007,-223,-215,2194,-32,21,-4,-1,0,0,807,50,9,-976,807,1162,1150,1150,1150,0,0,0,0,0,0,0,-1,0,35,21,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,-111,99,69,-34,959,1485,1737,1217,13,5,0,0,0,0,892,46,16,-944,892,1150,1150,1150,1150,0,0,0,0,0,0,0,1,2,-19,-42,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,331,65,-60,76,941,-406,-703,-3298,-25,9,0,0,0,0,981,82,68,-912,981,1150,1150,1175,1190,0,0,0,0,0,0,0,0,-2,-4,550,76,61,54,-61,1019,875,2592,2499,-10,5,0,0,0,0,1248,72,101,-824,1248,1201,1181,1150,1150,0,0,0,0,0,0,0,0,1,6,-14,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,461,400,-115,109,1029,-1077,89,-2871,-40,34,-2,0,0,0,1490,94,117,-752,1490,1150,1150,1208,1192,0,0,0,0,0,0,0,-3,-3,43,48,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,107,191,25,-96,1062,142,455,729,-9,16,0,0,0,0,1694,87,67,-696,1694,1184,1196,1176,1150,0,0,0,0,0,0,0,0,2,-7,-23,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,375,79,-23,116,991,-467,455,180,-32,3,2,0,0,0,2073,97,73,-600,2073,1215,1194,1196,1194,0,0,0,0,0,0,0,0,-2,-2,35,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,-113,92,-49,-55,935,20,639,3536,9,8,0,0,0,0,2259,59,-16,-556,2259,1252,1272,1154,1150,0,0,0,0,0,0,0,0,4,-3,-43,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,172,193,-21,-194,1047,-711,1554,-979,-22,20,0,-1,0,0,2508,99,5,-499,2508,1200,1211,1255,1215,0,0,0,0,0,0,0,0,0,6,-4,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,206,323,-29,-31,1028,570,-1314,-4397,-24,24,2,-1,0,0,2906,79,5,-415,2906,1191,1165,1296,1305,0,0,0,0,0,0,0,-3,-1,29,19,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,-260,204,-20,31,965,-833,2164,2804,19,17,-2,0,0,0,3228,59,-69,-351,3228,1283,1308,1251,1195,0,0,0,0,0,0,0,0,1,8,-11,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,-168,6,62,-100,893,-406,2348,7138,7,0,0,-1,0,0,3568,40,-28,-287,3568,1355,1363,1193,1150,0,0,0,0,0,0,0,3,1,-25,-9,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,1,12,27,88,1088,2584,-3084,-125,-14,1,0,-2,0,0,3811,83,38,-244,3811,1310,1242,1243,1313,0,0,0,0,0,0,0,0,-4,0,31,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,-183,-102,-23,-33,1005,-2603,3690,1522,5,-8,0,-2,0,0,4916,69,40,-60,4916,1332,1369,1343,1291,0,0,0,0,0,0,0,0,1,4,-10,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,-219,-332,-67,19,873,2889,-5891,-2932,1,-32,-2,-3,0,0,5548,89,2,0,5548,1354,1301,1338,1439,0,0,0,0,0,0,0,0,1,-6,-11,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,2,-324,244,-22,860,814,1737,-979,-21,-28,-2,-4,0,0,5602,67,112,0,5602,1366,1330,1356,1389,0,0,0,0,0,0,0,3,-1,-23,13,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,-197,-656,-101,172,794,325,8207,-918,3,-57,0,-2,0,0,5878,68,23,0,5878,1351,1370,1460,1284,0,0,0,0,0,0,0,0,-4,-5,29,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,-805,-1475,-275,222,1417,936,17850,-3848,56,-125,0,-2,0,0,6686,83,109,0,6686,1356,1366,1529,1314,0,0,0,0,0,0,0,3,4,-25,-28,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1303,-663,-1066,-70,-4,834,-101,-3633,-1773,40,-96,-2,-3,0,0,7079,68,3,0,7079,1390,1399,1413,1447,0,0,0,0,0,0,0,-5,0,27,-2,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350,-312,-1278,243,-104,1198,1424,883,-4153,2,-115,0,-4,0,0,7079,78,-89,0,7079,1381,1363,1428,1469,0,0,0,0,0,0,0,11,-4,-70,29,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1403,17,-965,104,22,660,1729,944,-613,-29,-84,0,-5,0,0,7079,56,-31,0,7079,1419,1391,1413,1423,0,0,0,0,0,0,0,5,-5,-37,29,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450,415,-1377,-82,53,936,5819,-2656,3414,-64,-123,0,-5,0,0,8593,131,0,0,8593,1518,1432,1370,1468,0,0,0,0,0,0,0,5,-6,-39,38,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,555,-1116,71,64,419,4964,6010,2560,-86,-100,0,-7,0,0,9387,60,-14,0,9387,1521,1458,1470,1430,0,0,0,0,0,0,0,2,-8,-20,46,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,988,-636,-165,73,968,-3275,2897,1400,-114,-55,0,-5,0,0,9387,83,-1,0,9387,1486,1499,1480,1462,0,0,0,0,0,0,0,-4,-7,17,41,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,457,-773,172,-75,881,-3214,1249,668,-57,-67,0,-3,0,0,9422,42,-56,0,9422,1477,1500,1465,1489,0,0,0,0,0,0,0,7,6,-45,-27,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,1022,-1103,78,-110,1108,814,1981,-1284,-110,-96,-2,-4,0,0,10776,60,-69,0,10776,1522,1473,1500,1535,0,0,0,0,0,0,0,17,-13,-92,71,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703,1647,-1485,258,88,403,3133,-3511,1339,-157,-129,0,-2,0,0,12060,43,-112,11,12060,1595,1513,1489,1576,0,0,0,0,0,0,0,26,-11,-135,62,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1750,743,-1901,221,37,679,-1444,8451,-2993,-78,-165,0,-2,0,0,12100,53,-88,15,12100,1528,1540,1571,1575,0,0,0,0,0,0,0,27,14,-138,-60,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,1324,-1850,126,-64,1093,2584,5521,-2810,-133,-164,-4,-3,0,0,12100,64,11,15,12100,1559,1502,1548,1598,0,0,0,0,0,0,0,9,-12,-49,68,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,1362,-826,-138,271,805,12777,13822,-6655,-132,-75,-4,-2,0,0,12100,71,-30,15,12100,1566,1434,1619,1584,0,0,0,0,0,0,0,-3,-3,23,33,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,1834,926,-201,-80,589,-5228,23405,-5557,-167,77,-4,-1,0,0,12140,85,38,20,12140,1505,1515,1642,1548,0,0,0,0,0,0,0,-14,-3,90,33,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
