c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,-333,-107,66,-70,1013,-1373,-350,-2716,15,-2,-2,1,0,0,0,100,286,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,-7,-25,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,133,-93,-56,137,947,1251,991,2899,17,-19,-2,0,0,0,0,52,304,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,-3,24,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,-79,59,-15,-98,986,-1068,-228,-518,-7,-1,2,0,0,0,0,67,221,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,11,-10,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,-80,-110,52,57,1044,-152,-228,-640,15,0,-2,0,0,0,0,40,88,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,-9,-6,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,195,135,-88,38,922,518,1174,2593,-1,-6,-2,0,0,0,0,51,42,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,15,21,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,-97,201,72,-96,1074,-946,-1327,-3265,-9,21,0,0,0,0,0,54,33,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,10,-15,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,133,-10,30,111,1013,762,-473,1190,7,7,0,0,0,0,0,56,39,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,-14,16,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,-37,298,-59,-109,959,-1068,137,-457,-9,6,-2,0,0,0,0,72,45,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,20,-8,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,-75,62,99,-29,1037,-30,-1022,-1861,6,22,-2,0,0,0,0,46,-9,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,-9,-10,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,128,127,-87,36,931,396,686,1739,4,-5,-2,0,0,0,0,52,29,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,3,14,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,-66,349,-37,-111,1062,-885,-900,-1434,-13,20,-4,0,0,0,0,56,7,-1600,0,1150,1150,1150,1150,0,0,0,0,0,0,0,0,0,24,-14,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
