RPM			ct			cp		cq/ct*d=ktau=cp/ct/2pi*d
2377			0.1059			0.0431		1.6461
2676			0.1079			0.0437		1.63808
2947			0.1079			0.0437		1.63808
3234			0.1104			0.0444		1.62663
3494			0.1117			0.045		1.62942
3762			0.1143			0.046		1.62774
4029			0.1158			0.0466		1.62761
4319			0.1177			0.0474		1.62883
4590			0.12			0.0484		1.63132
4880			0.1223			0.0494		1.63371
5147			0.1237			0.05		1.63484
5417			0.1252			0.0508		1.64109
5715			0.1263			0.0513		1.64281
5960			0.1278			0.052		1.64568
6226			0.1286			0.0524		1.64803
6528			0.1299			0.0531		1.65333
