RefDes,Value,Name,
C1,0.01uF,CAP_1206,
"C2, C4",1uF,CAP_1206,
C3,470pf,CAP_1206,
"C5, C7",0.1uF,CAP_1206,
C6,,CAP_1206,
"C8, C9",47uF,CAP_47uF,
"D1, D2",ASMT-YTB7-0AA02,rgb led,
J1,,RX PPM,
J2,,ESC,
Q1,"
SI2315BDS-T1-E3",ideal diode,50
"R1, R2, R3, R4, R5, R6, R7",10k,RES_1206,
"R8, R10",14k,RES_1206,
"R9, R11",2k,RES_1206,
"R12, R13, R14, R15, R16, R17, R18",100k,RES_1206,
U1,,DUE,2000
U2,,MPXV7002DP,1200
U3,16bit,ADS1115,500
U4,,mpu 9250,1100
U5,,ms5611,800
"U6, U7",,BSS138,50
U8,,BNO055,2200
U10, SN74ALVC164245DGGT,LLC-16CH,200
,,,
,,,8100
